School Name,Division Name,End_of_Year_Average_Daily_Membership,School_Level_Expenditures_Per_Pupil_Federal,School_Level_Expenditures_Per_Pupil_State,Division_Level_Expenditures_Per_Pupil_Federal,Division_Level_Expenditures_Per_Pupil_State,Total_Per_Pupil_Expenditures,Total_Expenditures,Sch_Div
Forest Glen Middle,Suffolk City Public Schools,437.97,2,7816,579,4378,12775,5595206,Forest Glen Middle Suffolk City Public Schools
Oakland Elementary,Suffolk City Public Schools,458.59,142,6620,579,4378,11719,5374315,Oakland Elementary Suffolk City Public Schools
Southwestern Elementary,Suffolk City Public Schools,563.16,534,6485,579,4378,11977,6744692,Southwestern Elementary Suffolk City Public Schools
Surry County High,Surry County Public Schools,212.05,1191,18966,245,7709,28111,5961009,Surry County High Surry County Public Schools
Luther P. Jackson Middle,Surry County Public Schools,181.14,2311,13491,245,7709,23757,4303261,Luther P. Jackson Middle Surry County Public Schools
Surry Elementary,Surry County Public Schools,252.62,1484,12276,245,7709,21714,5485416,Surry Elementary Surry County Public Schools
Speedwell Elementary,Wythe County Public Schools,144.16,999,7789,163,3510,12460,1796305,Speedwell Elementary Wythe County Public Schools
George Wythe High,Wythe County Public Schools,429.24,95,8069,163,3510,11837,5080873,George Wythe High Wythe County Public Schools
Scott Memorial Middle,Wythe County Public Schools,311.01,261,6738,163,3510,10671,3318796,Scott Memorial Middle Wythe County Public Schools
Sheffey Elementary,Wythe County Public Schools,242.54,1425,6083,163,3510,11180,2711516,Sheffey Elementary Wythe County Public Schools
Spiller Elementary,Wythe County Public Schools,582.77,735,6302,163,3510,10709,6240999,Spiller Elementary Wythe County Public Schools
Fort Chiswell High,Wythe County Public Schools,432.99,1,8581,163,3510,12254,5306005,Fort Chiswell High Wythe County Public Schools
Fort Chiswell Middle,Wythe County Public Schools,304.49,374,7495,163,3510,11542,3514355,Fort Chiswell Middle Wythe County Public Schools
Rural Retreat Middle,Wythe County Public Schools,221.15,142,7339,163,3510,11154,2466664,Rural Retreat Middle Wythe County Public Schools
Rural Retreat Elementary,Wythe County Public Schools,338.21,1059,6314,163,3510,11045,3735641,Rural Retreat Elementary Wythe County Public Schools
Rural Retreat High,Wythe County Public Schools,305.31,32,8640,163,3510,12345,3768970,Rural Retreat High Wythe County Public Schools
Max Meadows Elementary,Wythe County Public Schools,201.27,1095,9377,163,3510,14144,2846813,Max Meadows Elementary Wythe County Public Schools
Jackson Memorial Elementary,Wythe County Public Schools,208,1285,7120,163,3510,12078,2512186,Jackson Memorial Elementary Wythe County Public Schools
Amelia County Middle,Amelia County Public Schools,402.06,123,7827,340,3926,12215,4911321,Amelia County Middle Amelia County Public Schools
Amelia County Elementary,Amelia County Public Schools,736.41,973,6495,340,3926,11733,8640472,Amelia County Elementary Amelia County Public Schools
Amelia County High,Amelia County Public Schools,487.18,252,7984,340,3926,12501,6090345,Amelia County High Amelia County Public Schools
Clarke County High,Clarke County Public Schools,674.68,251,9123,305,3849,13528,9127183,Clarke County High Clarke County Public Schools
D.G. Cooley Elementary,Clarke County Public Schools,443.48,567,7796,305,3849,12518,5551412,D.G. Cooley Elementary Clarke County Public Schools
Johnson-Williams Middle,Clarke County Public Schools,417.16,720,8081,305,3849,12955,5404387,Johnson-Williams Middle Clarke County Public Schools
Boyce Elementary,Clarke County Public Schools,306.5,279,8550,305,3849,12984,3979505,Boyce Elementary Clarke County Public Schools
G.L.H. Johnson Elementary,Danville City Public Schools,511.78,2417,7609,2233,4335,16595,8492910,G.L.H. Johnson Elementary Danville City Public Schools
O. Trent Bonner Middle,Danville City Public Schools,716.08,1802,8210,2233,4335,16580,11872863,O. Trent Bonner Middle Danville City Public Schools
Westwood Middle,Danville City Public Schools,562.34,2090,9200,2233,4335,17859,10042589,Westwood Middle Danville City Public Schools
Woodberry Hills Elementary,Danville City Public Schools,389.58,3106,9706,2233,4335,19380,7550135,Woodberry Hills Elementary Danville City Public Schools
Edwin A. Gibson Elementary,Danville City Public Schools,527.21,2542,7960,2233,4335,17071,8999785,Edwin A. Gibson Elementary Danville City Public Schools
Forest Hills Elementary,Danville City Public Schools,222.48,2194,10982,2233,4335,19743,4392501,Forest Hills Elementary Danville City Public Schools
Galileo Magnet High,Danville City Public Schools,246.91,841,11099,2233,4335,18508,4569868,Galileo Magnet High Danville City Public Schools
George Washington High,Danville City Public Schools,1308.51,1018,8293,2233,4335,15879,20778407,George Washington High Danville City Public Schools
Park Avenue Elementary,Danville City Public Schools,387.61,2379,8863,2233,4335,17810,6903322,Park Avenue Elementary Danville City Public Schools
Schoolfield Elementary,Danville City Public Schools,506.34,2285,7656,2233,4335,16510,8359435,Schoolfield Elementary Danville City Public Schools
Franklin High,Franklin City Public Schools,287.22,1057,10879,958,5980,18873,5420823,Franklin High Franklin City Public Schools
Joseph P. King Jr. Middle,Franklin City Public Schools,230.5,2049,6680,958,5980,15667,3611215,Joseph P. King Jr. Middle Franklin City Public Schools
S.P. Morton Elementary,Franklin City Public Schools,467.12,1017,6777,958,5980,14733,6881898,S.P. Morton Elementary Franklin City Public Schools
Ruckersville Elementary,Greene County Public Schools,522.33,872,7427,230,3873,12402,6478014,Ruckersville Elementary Greene County Public Schools
Nathanael Greene Elementary,Greene County Public Schools,326.47,779,8407,230,3873,13289,4338354,Nathanael Greene Elementary Greene County Public Schools
William Monroe High,Greene County Public Schools,927.97,53,7376,230,3873,11532,10701496,William Monroe High Greene County Public Schools
William Monroe Middle,Greene County Public Schools,709.32,167,7972,230,3873,12242,8683750,William Monroe Middle Greene County Public Schools
Dupont Elementary,Hopewell City Public Schools,629.4,2204,7507,1157,4008,14875,9362463,Dupont Elementary Hopewell City Public Schools
Harry E. James Elementary,Hopewell City Public Schools,530.89,2493,9407,1157,4008,17065,9059698,Harry E. James Elementary Hopewell City Public Schools
Hopewell High,Hopewell City Public Schools,1119.91,495,8949,1157,4008,14609,16361183,Hopewell High Hopewell City Public Schools
Carter G. Woodson Middle,Hopewell City Public Schools,864.01,1007,6962,1157,4008,13134,11347572,Carter G. Woodson Middle Hopewell City Public Schools
Patrick Copeland Elementary,Hopewell City Public Schools,596.72,2034,8106,1157,4008,15304,9132459,Patrick Copeland Elementary Hopewell City Public Schools
Thomas Jefferson Elementary,Louisa County Public Schools,645.12,624,10287,448,3090,14449,9321549,Thomas Jefferson Elementary Louisa County Public Schools
Trevilians Elementary,Louisa County Public Schools,503.49,249,10430,448,3090,14217,7158059,Trevilians Elementary Louisa County Public Schools
Jouett Elementary,Louisa County Public Schools,577.42,112,11753,448,3090,15403,8894109,Jouett Elementary Louisa County Public Schools
Louisa County High,Louisa County Public Schools,1599.89,0,10314,448,3090,13852,22161048,Louisa County High Louisa County Public Schools
Louisa County Middle,Louisa County Public Schools,1189.15,684,8474,448,3090,12695,15096497,Louisa County Middle Louisa County Public Schools
Moss-Nuckols Elementary,Louisa County Public Schools,589.9,3990,6612,448,3090,14140,8341134,Moss-Nuckols Elementary Louisa County Public Schools
Baldwin Intermediate,Manassas City Public Schools,271.84,820,12038,174,2122,15154,4119402,Baldwin Intermediate Manassas City Public Schools
Mayfield Intermediate,Manassas City Public Schools,798.49,635,12903,174,2122,15833,12642519,Mayfield Intermediate Manassas City Public Schools
Richard C. Haydon Elementary,Manassas City Public Schools,623.72,1156,11427,174,2122,14879,9280271,Richard C. Haydon Elementary Manassas City Public Schools
Weems Elementary,Manassas City Public Schools,620.51,958,11639,174,2122,14892,9240910,Weems Elementary Manassas City Public Schools
Osbourn High,Manassas City Public Schools,2257.47,479,11602,174,2122,14376,32454391,Osbourn High Manassas City Public Schools
Baldwin Elementary,Manassas City Public Schools,624.89,1115,11822,174,2122,15233,9518779,Baldwin Elementary Manassas City Public Schools
George Carr Round Elementary,Manassas City Public Schools,521.98,695,14317,174,2122,17308,9034329,George Carr Round Elementary Manassas City Public Schools
Jennie Dean Elementary,Manassas City Public Schools,604.03,1107,14109,174,2122,17512,10577580,Jennie Dean Elementary Manassas City Public Schools
Nelson County High,Nelson County Public Schools,524.64,848,11927,325,3992,17093,8967674,Nelson County High Nelson County Public Schools
Nelson Middle,Nelson County Public Schools,354.99,630,11149,325,3992,16096,5714035,Nelson Middle Nelson County Public Schools
Rockfish River Elementary,Nelson County Public Schools,278.13,1297,11918,325,3992,17533,4876338,Rockfish River Elementary Nelson County Public Schools
Tye River Elementary,Nelson County Public Schools,344.39,1755,11583,325,3992,17656,6080537,Tye River Elementary Nelson County Public Schools
Orange Elementary,Orange County Public Schools,639.34,1144,6636,661,3639,12079,7722724,Orange Elementary Orange County Public Schools
Prospect Heights Middle,Orange County Public Schools,454.37,468,8910,661,3639,13676,6214177,Prospect Heights Middle Orange County Public Schools
Locust Grove Elementary,Orange County Public Schools,503.44,356,6383,661,3639,11039,5557342,Locust Grove Elementary Orange County Public Schools
Locust Grove Middle,Orange County Public Schools,660.23,250,6540,661,3639,11090,7321876,Locust Grove Middle Orange County Public Schools
Gordon-Barbour Elementary,Orange County Public Schools,318.23,963,8316,661,3639,13578,4320992,Gordon-Barbour Elementary Orange County Public Schools
Lightfoot Elementary,Orange County Public Schools,245.28,1369,6687,661,3639,12355,3030496,Lightfoot Elementary Orange County Public Schools
Poquoson Elementary,Poquoson City Public Schools,448.57,801,7180,109,3060,11150,5001660,Poquoson Elementary Poquoson City Public Schools
Poquoson Middle,Poquoson City Public Schools,467.16,542,8141,109,3060,11852,5536990,Poquoson Middle Poquoson City Public Schools
Poquoson High,Poquoson City Public Schools,693.09,294,8559,109,3060,12022,8332191,Poquoson High Poquoson City Public Schools
Binford Middle,Richmond City Public Schools,404.36,523,9644,3624,5962,19753,7987146,Binford Middle Richmond City Public Schools
Richmond Alternative,Richmond City Public Schools,168.99,870,15020,3624,5962,25476,4305245,Richmond Alternative Richmond City Public Schools
John B. Cary Elementary,Richmond City Public Schools,215.17,1415,11227,3624,5962,22228,4782881,John B. Cary Elementary Richmond City Public Schools
River City Middle,Richmond City Public Schools,1499.17,260,7114,3624,5962,16960,25426078,River City Middle Richmond City Public Schools
George Wythe High,Richmond City Public Schools,1264.94,343,7723,3624,5962,17652,22328231,George Wythe High Richmond City Public Schools
Lucille M. Brown Middle,Richmond City Public Schools,564.11,490,9998,3624,5962,20075,11324335,Lucille M. Brown Middle Richmond City Public Schools
Miles Jones Elementary,Richmond City Public Schools,546.6,560,8579,3624,5962,18725,10235188,Miles Jones Elementary Richmond City Public Schools
Richmond Career Education and Employment Charter School,Richmond City Public Schools,28.5,12,22538,3624,5962,32136,915875,Richmond Career Education and Employment Charter School Richmond City Public Schools
Ginter Park Elementary,Richmond City Public Schools,274.75,1071,12166,3624,5962,22823,6270604,Ginter Park Elementary Richmond City Public Schools
George W. Carver Elementary,Richmond City Public Schools,399.35,812,9849,3624,5962,20247,8085770,George W. Carver Elementary Richmond City Public Schools
Open High,Richmond City Public Schools,185.2,13,9712,3624,5962,19311,3576407,Open High Richmond City Public Schools
Amelia Street Special Education,Richmond City Public Schools,27.18,754,76951,3624,5962,87291,2372570,Amelia Street Special Education Richmond City Public Schools
Albert Hill Middle,Richmond City Public Schools,442.09,606,10157,3624,5962,20349,8996035,Albert Hill Middle Richmond City Public Schools
Barack Obama Elementary,Richmond City Public Schools,283.94,795,10876,3624,5962,21257,6035634,Barack Obama Elementary Richmond City Public Schools
Richmond Community High,Richmond City Public Schools,202.87,53,11410,3624,5962,21049,4270160,Richmond Community High Richmond City Public Schools
Overby-Sheppard Elementary,Richmond City Public Schools,273.09,1275,10264,3624,5962,21125,5769046,Overby-Sheppard Elementary Richmond City Public Schools
Fairfield Court Elementary,Richmond City Public Schools,251.83,508,13557,3624,5962,23651,5956012,Fairfield Court Elementary Richmond City Public Schools
Woodville Elementary,Richmond City Public Schools,266.12,2297,13378,3624,5962,25262,6722670,Woodville Elementary Richmond City Public Schools
Henry Marsh III Elementary,Richmond City Public Schools,458.88,821,9126,3624,5962,19534,8963536,Henry Marsh III Elementary Richmond City Public Schools
Bellevue Elementary,Richmond City Public Schools,212.42,594,14576,3624,5962,24756,5258630,Bellevue Elementary Richmond City Public Schools
Chimborazo Elementary,Richmond City Public Schools,388.58,1028,9997,3624,5962,20611,8009195,Chimborazo Elementary Richmond City Public Schools
Swansboro Elementary,Richmond City Public Schools,168.05,1687,14592,3624,5962,25865,4346607,Swansboro Elementary Richmond City Public Schools
Blackwell Elementary,Richmond City Public Schools,390.53,1006,9941,3624,5962,20533,8018581,Blackwell Elementary Richmond City Public Schools
Cardinal Elementary,Richmond City Public Schools,889.68,363,7271,3624,5962,17219,15319567,Cardinal Elementary Richmond City Public Schools
