Division Name,School Name,percentage_foster_care
Fairfax County,Franconia Elementary,0.0
Fairfax County,Franklin Middle,0.0
Fairfax County,Freedom Hill Elementary,0.0
Fairfax County,Frost Middle,
Fairfax County,Garfield Elementary,0.0
Fairfax County,Glasgow Middle,1.0
Fairfax County,Glen Forest Elementary,0.0022753128555176336
Fairfax County,Graham Road Elementary,0.0
Fairfax County,Great Falls Elementary,0.0
Fairfax County,Greenbriar East Elementary,0.0
Fairfax County,Greenbriar West Elementary,0.0
Fairfax County,Groveton Elementary,0.0013280212483399733
Fairfax County,Gunston Elementary,0.0
Fairfax County,Halley Elementary,0.0
Fairfax County,Haycock Elementary,0.0
Fairfax County,Hayfield Elementary,0.0015151515151515152
Fairfax County,Hayfield Secondary,1.0
Fairfax County,Herndon Elementary,0.003931847968545216
Fairfax County,Herndon High,1.0
Fairfax County,Herndon Middle,1.0
Fairfax County,Hollin Meadows Elementary,0.0016207455429497568
Fairfax County,Holmes Middle,0.0
Fairfax County,Hughes Middle,0.0010245901639344263
Fairfax County,Hunt Valley Elementary,0.0014992503748125937
Fairfax County,Hunters Woods Elementary School for the Arts and Sciences,0.0013605442176870747
Fairfax County,Hutchison Elementary,1.0
Fairfax County,Hybla Valley Elementary,0.0
Fairfax County,Irving Middle,
Fairfax County,Island Creek Elementary,0.005633802816901409
Fairfax County,Jackson Middle,1.0
Fairfax County,Johnson Middle,
Fairfax County,Justice High,1.0
Fairfax County,Keene Mill Elementary,0.0
Fairfax County,Kent Gardens Elementary,
Fairfax County,Key Center,0.0
Fairfax County,Key Middle,0.0
Fairfax County,Kilmer Center,0.0
Fairfax County,Kilmer Middle,1.0
Fairfax County,Kings Glen Elementary,0.007712082262210797
Fairfax County,Kings Park Elementary,0.0
Fairfax County,Lake Anne Elementary,0.0017761989342806395
Fairfax County,Lake Braddock Secondary,1.0
Fairfax County,Lane Elementary,0.0
Fairfax County,Langley High,
Fairfax County,Laurel Hill Elementary,0.0
Fairfax County,Laurel Ridge Elementary,0.0025575447570332483
Fairfax County,Lees Corner Elementary,0.0
Fairfax County,Lemon Road Elementary,0.0
Fairfax County,Lewis High,
Fairfax County,Liberty Middle,0.0
Fairfax County,Little Run Elementary,0.0
Fairfax County,London Towne Elementary,0.0
Fairfax County,Longfellow Middle,1.0
Fairfax County,Lorton Station Elementary,0.001326259946949602
Fairfax County,Lynbrook Elementary,0.001694915254237288
Fairfax County,Madison High,
Fairfax County,Mantua Elementary,0.0
Fairfax County,Marshall High,
Fairfax County,Marshall Road Elementary,0.0
Fairfax County,Mason Crest Elementary,0.0
Fairfax County,McLean High,
Fairfax County,McNair Elementary,0.0
Fairfax County,McNair Upper Elementary,0.0
Fairfax County,Mosaic Elementary,0.0
Fairfax County,Mount Eagle Elementary,0.0
Fairfax County,Mount Vernon High,1.0
Fairfax County,Mount Vernon Woods Elementary,0.0016420361247947454
Fairfax County,Mountain View High,0.012987012987012988
Fairfax County,Navy Elementary,0.0
Fairfax County,Newington Forest Elementary,0.0
Fairfax County,North Springfield Elementary,0.0021929824561403508
Fairfax County,Oak Hill Elementary,0.0
Fairfax County,Oak View Elementary,0.001282051282051282
Fairfax County,Oakton Elementary,0.0013351134846461949
Fairfax County,Oakton High,1.0
Fairfax County,Olde Creek Elementary,0.0
Fairfax County,Orange Hunt Elementary,0.0
Fairfax County,Parklawn Elementary,0.0
Fairfax County,Pimmit Early Childhood Resource Center,0.0
Fairfax County,Pine Spring Elementary,0.0
