Division Name,School Name,percentage_male
Clarke County,Johnson-Williams Middle,0.5299760191846523
Colonial Beach,Colonial Beach Elementary,0.5358974358974359
Colonial Beach,Colonial Beach High,0.5234042553191489
Colonial Heights City,Colonial Heights High,0.5107913669064749
Colonial Heights City,Colonial Heights Middle,0.518348623853211
Colonial Heights City,Lakeview Elementary,0.5294117647058824
Colonial Heights City,North Elementary,0.5297805642633229
Colonial Heights City,Tussing Elementary,0.4931972789115646
Covington City,Covington High,0.4871060171919771
Covington City,Edgemont Primary,0.5079365079365079
Covington City,Jeter-Watson Intermediate,0.4768211920529801
Craig County,Craig County High,0.5666666666666667
Craig County,McCleary Elementary,0.4413145539906103
Culpeper County,A.G. Richardson Elementary,0.496309963099631
Culpeper County,Culpeper County High,0.5041597337770383
Culpeper County,Culpeper Middle,0.5081818181818182
Culpeper County,Eastern View High,0.5067350865939705
Culpeper County,Emerald Hill Elementary,0.5036390101892285
Culpeper County,Farmington Elementary,0.5173116089613035
Culpeper County,Floyd T. Binns Middle,0.5047846889952153
Culpeper County,Galbreath-Marshall Building,1.0
Culpeper County,Pearl Sample Elementary,0.5208681135225376
Culpeper County,Sycamore Park Elementary,0.5229885057471264
Culpeper County,Yowell Elementary,0.5069124423963134
Cumberland County,Cumberland Elementary,0.4695121951219512
Cumberland County,Cumberland High,0.5390835579514824
Cumberland County,Cumberland Middle,0.5391304347826087
Danville City,Edwin A. Gibson Elementary,0.5149812734082397
Danville City,Forest Hills Elementary,0.52
Danville City,G.L.H. Johnson Elementary,0.4883720930232558
Danville City,Galileo Magnet High,0.4581673306772908
Danville City,George Washington High,0.48872727272727273
Danville City,Grove Park Preschool,0.5042016806722689
Danville City,O. Trent Bonner Middle,0.5261707988980716
Danville City,Park Avenue Elementary,0.5025380710659898
Danville City,Schoolfield Elementary,0.48412698412698413
Danville City,The Northside Preschool,0.4626865671641791
Danville City,Westwood Middle,0.48663101604278075
Danville City,Woodberry Hills Elementary,0.5113350125944585
Dickenson County,Clintwood Elementary,0.5271867612293144
Dickenson County,Ervinton Elementary,0.5454545454545454
Dickenson County,Ridgeview High,0.5365448504983389
Dickenson County,Ridgeview Middle,0.5177304964539007
Dickenson County,Sandlick Elementary,0.5401069518716578
Dinwiddie County,Dinwiddie County High,0.5188897455666923
Dinwiddie County,Dinwiddie County Middle,0.49625668449197863
Dinwiddie County,Dinwiddie Elementary,0.52046783625731
Dinwiddie County,Midway Elementary,0.4888268156424581
Dinwiddie County,Southside Elementary,0.5582417582417583
Dinwiddie County,Sunnyside Elementary,0.5095057034220533
Dinwiddie County,Sutherland Elementary,0.5324675324675324
Essex County,Essex High,0.5019685039370079
Essex County,James H. Cary Intermediate,0.5095890410958904
Essex County,Tappahannock Elementary,0.5307692307692308
Fairfax County,Aldrin Elementary,0.5268389662027833
Fairfax County,Annandale High,
Fairfax County,Annandale Terrace Elementary,0.5100463678516228
Fairfax County,Archer Elementary,0.5333333333333333
Fairfax County,Armstrong Elementary,0.5786516853932584
Fairfax County,Bailey's Elementary School for the Arts and Sciences,0.5113065326633166
Fairfax County,Bailey's Upper Elementary School for the Arts and Sciences,0.5086705202312138
Fairfax County,Beech Tree Elementary,0.5397260273972603
Fairfax County,Belle View Elementary,0.5
Fairfax County,Belvedere Elementary,0.5595667870036101
Fairfax County,Bonnie Brae Elementary,0.5327455919395466
Fairfax County,Braddock Elementary,0.49474912485414235
Fairfax County,Bren Mar Park Elementary,0.5211581291759465
Fairfax County,Brookfield Elementary,0.4918918918918919
Fairfax County,Bryant High,0.5142857142857142
Fairfax County,Bucknell Elementary,0.5363984674329502
Fairfax County,Bull Run Early Childhood Resource Center,0.6608187134502924
Fairfax County,Bull Run Elementary,0.5125348189415042
Fairfax County,Bush Hill Elementary,0.49059561128526646
Fairfax County,Camelot Elementary,0.5221088435374149
Fairfax County,Cameron Elementary,0.524390243902439
Fairfax County,Canterbury Woods Elementary,0.4820971867007673
Fairfax County,Cardinal Forest Elementary,0.4855195911413969
Fairfax County,Carson Middle,0.5355908776779544
Fairfax County,Centre Ridge Elementary,0.5227920227920227
Fairfax County,Centreville Elementary,0.5366161616161617
Fairfax County,Centreville High,
Fairfax County,Chantilly High,
Fairfax County,Cherry Run Elementary,0.5035128805620609
Fairfax County,Chesterbrook Elementary,0.5303292894280762
Fairfax County,Churchill Road Elementary,0.4975767366720517
Fairfax County,Clearview Elementary,0.5409015025041736
Fairfax County,Clermont Elementary,0.48518518518518516
Fairfax County,Coates Elementary,0.5144356955380578
Fairfax County,Columbia Elementary,0.5390243902439025
Fairfax County,Colvin Run Elementary,0.5291828793774319
Fairfax County,Cooper Middle,0.5264735264735265
Fairfax County,Crestwood Elementary,0.5229681978798587
Fairfax County,Crossfield Elementary,0.5353356890459364
Fairfax County,Cub Run Elementary,0.5483304042179262
Fairfax County,Cunningham Park Elementary,0.5199063231850117
Fairfax County,Daniels Run Elementary,0.5263835263835264
Fairfax County,Deer Park Elementary,0.5292035398230088
Fairfax County,Dogwood Elementary,0.5030581039755352
Fairfax County,Dranesville Elementary,0.5640194489465153
Fairfax County,Dunn Loring Early Childhood Resource Center,0.5659340659340659
Fairfax County,Eagle View Elementary,0.5184563758389261
Fairfax County,Edison High,
Fairfax County,Fairfax County Adult High,0.5211267605633803
Fairfax County,Fairfax High,
Fairfax County,Fairfax Villa Elementary,0.556420233463035
Fairfax County,Fairhill Elementary,0.5361216730038023
Fairfax County,Fairview Elementary,0.5027777777777778
Fairfax County,Falls Church High,0.0
Fairfax County,Flint Hill Elementary,0.5371517027863777
Fairfax County,Floris Elementary,0.5211267605633803
Fairfax County,Forest Edge Elementary,0.5189075630252101
Fairfax County,Forestdale Elementary,0.5489443378119002
Fairfax County,Forestville Elementary,0.5151515151515151
Fairfax County,Fort Belvoir Elementary,0.5299860529986054
Fairfax County,Fort Belvoir Upper Elementary,0.5328358208955224
Fairfax County,Fort Hunt Elementary,0.4477317554240631
Fairfax County,Fox Mill Elementary,0.5403087478559176
Fairfax County,Franconia Elementary,0.4596622889305816
Fairfax County,Franklin Middle,0.5096700796359499
Fairfax County,Freedom Hill Elementary,0.5060728744939271
Fairfax County,Frost Middle,0.516075845012366
