Division Name,School Name,percentage_disadvantaged,percentage_english_learners,percentage_foster_care,percentage_male,percentage_homeless,percentage_military,percentage_disabled,free_reduced_lunch_percentage,chronic_absenteeism_rate,cohort_dropout_rate,Bachelors_Percent,Masters_Percent,Doctoral_Percent
Fairfax County,Shrevewood Elementary,0.2768777614138439,0.3215434083601286,0.0,0.5095729013254786,0.0,0.0176730486008836,0.1413843888070692,0.233,0.1414,,37.0,58.0,3.0
Fairfax County,Silverbrook Elementary,0.0850253807106599,0.0471821756225425,0.0,0.5190355329949239,0.0,0.2106598984771573,0.133248730964467,0.0819999999999999,0.0757,,38.0,59.0,3.0
Fairfax County,Sleepy Hollow Elementary,0.6258503401360545,0.6057007125890737,0.0,0.5272727272727272,0.0,0.0272108843537414,0.1768707482993197,0.607,0.177,,32.0,62.0,2.0
Fairfax County,South County High,1.0,1.0,1.0,,,1.0,1.0,0.207,0.2173999999999999,0.0069999999999999,25.0,73.0,0.0
Fairfax County,South County Middle,0.2227926078028747,0.0597519729425028,0.0041067761806981,0.5102669404517454,0.0,0.1570841889117043,0.148870636550308,0.2289999999999999,0.1076999999999999,,26.0,73.0,1.0
Fairfax County,South Lakes High,1.0,1.0,1.0,,1.0,1.0,1.0,0.285,0.2034,0.0339,22.0,72.0,4.0
Fairfax County,Spring Hill Elementary,0.0802395209580838,0.1542416452442159,0.0,0.5041916167664671,0.0,0.0155688622754491,0.0826347305389221,0.042,0.0807,,23.0,73.0,3.0
Fairfax County,Springfield Estates Elementary,0.3694158075601375,0.2699619771863117,0.0,0.4725085910652921,0.0,0.0446735395189003,0.1134020618556701,0.31,0.1082,,28.0,72.0,0.0
Fairfax County,Stenwood Elementary,0.1100569259962049,0.1005917159763313,0.0,0.4990512333965844,0.0,0.0531309297912713,0.1612903225806451,0.092,0.0676,,21.0,77.0,2.0
Fairfax County,Stone Middle,0.3685714285714285,0.1732418524871355,0.0,0.4634146341463415,0.0,0.0271428571428571,0.1914285714285714,0.317,0.1382,,38.0,58.0,2.0
Fairfax County,Stratford Landing Elementary,0.2316076294277929,0.0586552217453505,0.0,0.5422343324250681,0.0,0.2070844686648501,0.1321525885558583,0.233,0.0799,,19.0,77.0,0.0
Fairfax County,Sunrise Valley Elementary,0.1187384044526901,0.09251968503937,0.0,0.5167910447761194,0.0,0.0259740259740259,0.1076066790352504,0.113,0.0574,,22.0,78.0,0.0
Fairfax County,Terra Centre Elementary,0.1160130718954248,0.0913705583756345,0.0,0.5245098039215687,0.0,0.1993464052287581,0.2042483660130719,0.095,0.0548,,29.0,67.0,2.0
Fairfax County,Terraset Elementary,0.311973018549747,0.1859649122807017,0.0050590219224283,0.5480607082630692,0.0,0.0236087689713322,0.193929173693086,0.319,0.1224,,38.0,62.0,0.0
Fairfax County,Thomas Jefferson High for Science and Technology,1.0,,,0.0,,1.0,1.0,0.018,0.0475999999999999,0.0,18.0,61.0,20.0
Fairfax County,Thoreau Middle,0.1726495726495726,0.1034807149576669,,0.5089820359281437,,1.0,1.0,0.155,0.1071,,29.0,68.0,1.0
Fairfax County,Timber Lane Elementary,0.554635761589404,0.4074074074074074,0.0016556291390728,0.5347682119205298,0.0,0.0198675496688741,0.1589403973509933,0.595,0.1813,,26.0,74.0,0.0
Fairfax County,Twain Middle,0.3695652173913043,0.1446907817969661,1.0,0.5098814229249012,,0.0780632411067193,0.1393280632411067,0.3339999999999999,0.1176,,24.0,71.0,2.0
