School Name,Division Name,Bachelors_Percent,Masters_Percent,Doctoral_Percent
Churchland High,Portsmouth City,49.0,41.0,1.0
Churchland Middle,Portsmouth City,59.0,33.0,2.0
Churchland Primary & Intermediate,Portsmouth City,45.0,53.0,2.0
Churchville Elementary,Augusta County,59.0,38.0,0.0
Clara Byrd Baker Elementary,Williamsburg-James City County,34.0,60.0,2.0
Claremont Immersion,Arlington County,30.0,61.0,4.0
Clark Elementary,Charlottesville City,34.0,63.0,0.0
Clarke County High,Clarke County,46.0,49.0,0.0
Clarksville Elementary,Mecklenburg County,49.0,49.0,0.0
Claude Thompson Elementary,Fauquier County,38.0,62.0,0.0
Clays Mill Elementary,Halifax County,66.0,31.0,3.0
Clearbrook Elementary,Roanoke County,38.0,53.0,0.0
Clearview Elementary,Fairfax County,26.0,72.0,1.0
Clermont Elementary,Fairfax County,31.0,69.0,0.0
Clifton Middle,Alleghany Highlands,54.0,46.0,0.0
Clintwood Elementary,Dickenson County,68.0,24.0,2.0
Clover Hill Elementary,Chesterfield County,49.0,47.0,0.0
Clover Hill High,Chesterfield County,39.0,60.0,0.0
Cloverdale Elementary,Botetourt County,44.0,52.0,0.0
Cluster Springs Elementary,Halifax County,46.0,52.0,0.0
Coates Elementary,Fairfax County,30.0,70.0,0.0
Coeburn Middle,Wise County,55.0,40.0,0.0
Coeburn Primary,Wise County,73.0,22.0,4.0
Cold Harbor Elementary,Hanover County,24.0,72.0,0.0
Coleman Place Elementary,Norfolk City,47.0,42.0,4.0
Coles Elementary,Prince William County,32.0,66.0,0.0
College Park Elementary,Virginia Beach City,38.0,58.0,0.0
Colonel Fred Cherry Middle,Suffolk City,51.0,40.0,2.0
Colonial Beach Elementary,Colonial Beach,54.0,25.0,0.0
Colonial Beach High,Colonial Beach,63.0,32.0,5.0
Colonial Elementary,Botetourt County,53.0,42.0,0.0
Colonial Forge High,Stafford County,31.0,63.0,3.0
Colonial Heights High,Colonial Heights City,49.0,47.0,0.0
Colonial Heights Middle,Colonial Heights City,60.0,40.0,0.0
Colonial Trail Elementary,Henrico County,43.0,57.0,0.0
Columbia Elementary,Fairfax County,26.0,71.0,2.0
Colvin Run Elementary,Fairfax County,24.0,75.0,0.0
Community Lab School,Albemarle County,31.0,56.0,6.0
Concord Elementary,Campbell County,54.0,43.0,0.0
Conway Elementary,Stafford County,42.0,56.0,0.0
Cool Spring Elementary,Hanover County,32.0,67.0,0.0
Cool Spring Elementary,Loudoun County,22.0,77.0,1.0
Cool Spring Elementary,Petersburg City,53.0,48.0,0.0
Cooper Middle,Fairfax County,26.0,72.0,1.0
Cople Elementary,Westmoreland County,53.0,38.0,0.0
Cora Kelly School for Math Science and Technology,Alexandria City,42.0,50.0,4.0
Corporate Landing Elementary,Virginia Beach City,34.0,61.0,0.0
Corporate Landing Middle,Virginia Beach City,36.0,60.0,2.0
Cosby High,Chesterfield County,31.0,66.0,2.0
Council Elementary/Middle,Buchanan County,59.0,41.0,0.0
Countryside Elementary,Loudoun County,27.0,72.0,0.0
Courthouse Road Elementary,Spotsylvania County,49.0,51.0,0.0
Courtland Elementary,Spotsylvania County,40.0,60.0,0.0
Courtland High,Spotsylvania County,38.0,59.0,1.0
Coventry Elementary,York County,27.0,71.0,0.0
Covington High,Alleghany Highlands,50.0,50.0,0.0
Covington-Harper Elementary,Prince William County,33.0,56.0,0.0
Cradock Elementary,Portsmouth City,43.0,50.0,3.0
Cradock Middle,Portsmouth City,42.0,48.0,3.0
Craig County High,Craig County,62.0,35.0,0.0
Craigsville Elementary,Augusta County,52.0,35.0,0.0
Creeds Elementary,Virginia Beach City,26.0,70.0,0.0
Creekside Elementary,Suffolk City,50.0,48.0,2.0
Creighton's Corner Elementary,Loudoun County,24.0,74.0,2.0
Crestview Elementary,Henrico County,45.0,55.0,0.0
Crestwood Elementary,Chesterfield County,39.0,59.0,2.0
Crestwood Elementary,Fairfax County,32.0,66.0,0.0
Crestwood Intermediate,Chesapeake City,41.0,49.0,3.0
Crestwood Middle,Chesapeake City,32.0,63.0,0.0
Crewe Primary,Nottoway County,50.0,50.0,0.0
Crittenden Middle,Newport News City,33.0,49.0,1.0
Critzer Elementary,Pulaski County,59.0,33.0,2.0
