Division Name,School Name,percentage_disabled
Culpeper County,Sycamore Park Elementary,0.10344827586206896
Culpeper County,Yowell Elementary,0.1336405529953917
Cumberland County,Cumberland Elementary,0.0975609756097561
Cumberland County,Cumberland High,0.12398921832884097
Cumberland County,Cumberland Middle,0.10434782608695652
Danville City,Edwin A. Gibson Elementary,0.15917602996254682
Danville City,Forest Hills Elementary,0.09333333333333334
Danville City,G.L.H. Johnson Elementary,0.09108527131782945
Danville City,Galileo Magnet High,0.07569721115537849
Danville City,George Washington High,1.0
Danville City,Grove Park Preschool,0.226890756302521
Danville City,O. Trent Bonner Middle,0.13360881542699724
Danville City,Park Avenue Elementary,0.12944162436548223
Danville City,Schoolfield Elementary,0.11507936507936507
Danville City,The Northside Preschool,0.0
Danville City,Westwood Middle,0.17825311942959002
Danville City,Woodberry Hills Elementary,0.1561712846347607
Dickenson County,Clintwood Elementary,0.11583924349881797
Dickenson County,Ervinton Elementary,0.2097902097902098
Dickenson County,Ridgeview High,0.18106312292358803
Dickenson County,Ridgeview Middle,0.16312056737588654
Dickenson County,Sandlick Elementary,0.15508021390374332
Dinwiddie County,Dinwiddie County High,1.0
Dinwiddie County,Dinwiddie County Middle,0.14545454545454545
Dinwiddie County,Dinwiddie Elementary,0.16374269005847952
Dinwiddie County,Midway Elementary,0.09497206703910614
Dinwiddie County,Southside Elementary,0.09010989010989011
Dinwiddie County,Sunnyside Elementary,0.12927756653992395
Dinwiddie County,Sutherland Elementary,0.07977736549165121
Essex County,Essex High,0.14763779527559054
Essex County,James H. Cary Intermediate,0.18082191780821918
Essex County,Tappahannock Elementary,0.06153846153846154
Fairfax County,Aldrin Elementary,0.21272365805168986
Fairfax County,Annandale High,1.0
Fairfax County,Annandale Terrace Elementary,0.14528593508500773
Fairfax County,Archer Elementary,0.13137254901960785
Fairfax County,Armstrong Elementary,0.2696629213483146
Fairfax County,Bailey's Elementary School for the Arts and Sciences,0.1092964824120603
Fairfax County,Bailey's Upper Elementary School for the Arts and Sciences,0.14836223506743737
Fairfax County,Beech Tree Elementary,0.1643835616438356
Fairfax County,Belle View Elementary,0.22946859903381642
Fairfax County,Belvedere Elementary,0.18231046931407943
Fairfax County,Bonnie Brae Elementary,0.1712846347607053
Fairfax County,Braddock Elementary,0.1306884480746791
Fairfax County,Bren Mar Park Elementary,0.15367483296213807
Fairfax County,Brookfield Elementary,0.12432432432432433
Fairfax County,Bryant High,0.07142857142857142
Fairfax County,Bucknell Elementary,0.19923371647509577
Fairfax County,Bull Run Early Childhood Resource Center,1.0
Fairfax County,Bull Run Elementary,0.13370473537604458
Fairfax County,Bush Hill Elementary,0.17084639498432602
Fairfax County,Camelot Elementary,0.18197278911564627
Fairfax County,Cameron Elementary,0.1443089430894309
Fairfax County,Canterbury Woods Elementary,0.1417624521072797
Fairfax County,Cardinal Forest Elementary,0.20783645655877342
Fairfax County,Carson Middle,1.0
Fairfax County,Centre Ridge Elementary,0.13532763532763534
Fairfax County,Centreville Elementary,0.14772727272727273
Fairfax County,Centreville High,1.0
Fairfax County,Chantilly High,1.0
Fairfax County,Cherry Run Elementary,0.1920374707259953
Fairfax County,Chesterbrook Elementary,0.1245674740484429
Fairfax County,Churchill Road Elementary,0.1050080775444265
Fairfax County,Clearview Elementary,0.16026711185308848
Fairfax County,Clermont Elementary,0.1037037037037037
Fairfax County,Coates Elementary,0.11795543905635648
Fairfax County,Columbia Elementary,0.15853658536585366
Fairfax County,Colvin Run Elementary,0.11543450064850844
Fairfax County,Cooper Middle,0.1108891108891109
Fairfax County,Crestwood Elementary,0.10424028268551237
Fairfax County,Crossfield Elementary,0.14840989399293286
Fairfax County,Cub Run Elementary,0.19156414762741653
Fairfax County,Cunningham Park Elementary,0.2224824355971897
Fairfax County,Daniels Run Elementary,0.1879021879021879
Fairfax County,Deer Park Elementary,0.22614840989399293
Fairfax County,Dogwood Elementary,0.1620795107033639
Fairfax County,Dranesville Elementary,0.22042139384116693
Fairfax County,Dunn Loring Early Childhood Resource Center,1.0
Fairfax County,Eagle View Elementary,0.19630872483221476
Fairfax County,Edison High,1.0
Fairfax County,Fairfax County Adult High,0.0
Fairfax County,Fairfax High,1.0
Fairfax County,Fairfax Villa Elementary,0.18093385214007782
Fairfax County,Fairhill Elementary,0.11596958174904944
Fairfax County,Fairview Elementary,0.12222222222222222
Fairfax County,Falls Church High,1.0
Fairfax County,Flint Hill Elementary,0.13622291021671826
Fairfax County,Floris Elementary,0.11971830985915492
Fairfax County,Forest Edge Elementary,0.17436974789915966
Fairfax County,Forestdale Elementary,0.20153550863723607
Fairfax County,Forestville Elementary,0.1265597147950089
Fairfax County,Fort Belvoir Elementary,0.17712691771269176
Fairfax County,Fort Belvoir Upper Elementary,0.18059701492537314
Fairfax County,Fort Hunt Elementary,0.14595660749506903
Fairfax County,Fox Mill Elementary,0.14065180102915953
Fairfax County,Franconia Elementary,0.14446529080675422
Fairfax County,Franklin Middle,0.16022727272727272
Fairfax County,Freedom Hill Elementary,0.17813765182186234
Fairfax County,Frost Middle,1.0
Fairfax County,Garfield Elementary,0.10903426791277258
Fairfax County,Glasgow Middle,1.0
Fairfax County,Glen Forest Elementary,0.1558589306029579
Fairfax County,Graham Road Elementary,0.16279069767441862
Fairfax County,Great Falls Elementary,0.12571428571428572
Fairfax County,Greenbriar East Elementary,0.15669205658324264
Fairfax County,Greenbriar West Elementary,0.10708661417322834
Fairfax County,Groveton Elementary,0.13545816733067728
Fairfax County,Gunston Elementary,0.11753731343283583
Fairfax County,Halley Elementary,0.18887015177065766
