Division Name,School Name,percentage_disadvantaged,percentage_english_learners,percentage_foster_care,percentage_male,percentage_homeless,percentage_military,percentage_disabled,free_reduced_lunch_percentage,chronic_absenteeism_rate,cohort_dropout_rate,Bachelors_Percent,Masters_Percent,Doctoral_Percent,SOL Pass Rate,School_Level_Expenditures_Per_Pupil_Federal,School_Level_Expenditures_Per_Pupil_State,Division_Level_Expenditures_Per_Pupil_Federal,Division_Level_Expenditures_Per_Pupil_State,Total_Per_Pupil_Expenditures,Total_Expenditures
Accomack County,Arcadia Middle,0.4826325411334552,0.1860465116279069,0.0,0.4789762340036563,0.0,0.0054844606946983,0.1663619744058501,,,,,,,,,,,,,
Fairfax County,Archer Elementary,0.0980392156862745,0.0987654320987654,0.0,0.5333333333333333,0.0,0.0431372549019607,0.1313725490196078,0.099,0.0513,,22.0,74.0,0.0,0.9066666667,308.0,9597.0,694.0,6054.0,16653.0,18992394.0
Loudoun County,Arcola Elementary,0.1491596638655462,0.2170542635658914,0.0010504201680672,0.5178571428571429,0.0,0.0241596638655462,0.0976890756302521,0.102,0.1449,,21.0,77.0,1.0,0.735,218.0,14641.0,13.0,2246.0,17118.0,14990499.0
Arlington County,Arlington Community High,0.2033898305084746,0.7670454545454546,0.0112994350282485,0.5,0.0,0.0056497175141242,0.0,0.228,0.6383,0.1429,7.0,87.0,7.0,0.75,606.0,14049.0,968.0,7589.0,23212.0,13526184.0
Arlington County,Arlington Science Focus School,0.1162280701754386,0.1111111111111111,0.0,0.5657894736842105,0.0,0.0394736842105263,0.1096491228070175,,0.0407,,41.0,56.0,0.0,0.905,22.0,20430.0,968.0,7589.0,29009.0,11762303.0
Arlington County,Arlington Traditional,0.3562874251497006,0.2633390705679862,0.0,0.5104790419161677,0.0,0.0449101796407185,0.0823353293413173,0.307,0.0277,,27.0,69.0,0.0,0.925,13.0,10216.0,968.0,7589.0,18786.0,17277940.0
Frederick County,Armel Elementary,0.2511848341232227,0.1191626409017713,0.0,0.5213270142180095,0.0,0.0110584518167456,0.1248025276461295,0.2269999999999999,0.095,,43.0,55.0,0.0,0.6925,431.0,9993.0,136.0,2885.0,13445.0,6256839.0
Fairfax County,Armstrong Elementary,0.1516853932584269,0.1057142857142857,0.0,0.5786516853932584,0.0,0.0056179775280898,0.2696629213483146,0.152,0.1271,,22.0,76.0,0.0,0.7666666666999999,1696.0,11943.0,694.0,6054.0,20388.0,10597160.0
Hampton City,Armstrong Elementary,0.244360902255639,0.0,0.0,0.4436090225563909,0.0,0.1428571428571428,0.1015037593984962,0.295,0.1455,,52.0,48.0,0.0,0.8775,525.0,8716.0,446.0,2738.0,12426.0,3318004.0
Richmond City,Armstrong High,0.7860824742268041,0.0,0.0051546391752577,0.4987113402061855,0.0257731958762886,0.0012886597938144,0.3015463917525773,,,,,,,,,,,,,
Virginia Beach City,Arrowhead Elementary,0.5183044315992292,0.0,0.0038535645472061,0.5048169556840078,0.0,0.1772639691714836,0.1541425818882466,0.498,0.1349,,42.0,56.0,2.0,0.7775,1260.0,11472.0,0.0,0.0,12732.0,15117974.0
Henrico County,Arthur Ashe Jr. Elementary,0.7430830039525692,0.0871287128712871,0.0019762845849802,0.5474308300395256,0.0,0.0059288537549407,0.1640316205533596,,,,,,,,,,,,,
Staunton City,Arthur R. Ware Elementary,0.3316326530612244,0.0281329923273657,0.0076530612244897,0.5510204081632653,0.0,0.0204081632653061,0.1020408163265306,0.745,0.2475,,53.0,41.0,0.0,0.6466666667,1244.0,7818.0,1308.0,3745.0,14115.0,5554671.0
Loudoun County,Ashburn Elementary,0.2131782945736434,0.1758691206543967,0.003875968992248,0.5387596899224806,0.0,0.0174418604651162,0.1182170542635659,0.143,0.0911,,19.0,80.0,0.0,0.85,623.0,15147.0,13.0,2246.0,18028.0,12456677.0
