Division Name,School Name,free_reduced_lunch_percentage
Roanoke County,Glen Cove Elementary,0.335
Fairfax County,Glen Forest Elementary,0.826
Henrico County,Glen Lea Elementary,0.823
Prince William County,Glenkirk Elementary,0.09
Roanoke County,Glenvar Elementary,0.32
Roanoke County,Glenvar High,0.245
Roanoke County,Glenvar Middle,0.32299999999999995
Virginia Beach City,Glenwood Elementary,0.38299999999999995
Gloucester County,Gloucester High,0.35100000000000003
Goochland County,Goochland Elementary,0.24
Goochland County,Goochland High,0.205
Goochland County,Goochland Middle,0.27399999999999997
Bedford County,Goodview Elementary,0.493
Orange County,Gordon-Barbour Elementary,0.605
Loudoun County,Goshen Post Elementary,0.046
Fauquier County,Grace Miller Elementary,0.401
York County,Grafton Bethel Elementary,0.226
York County,Grafton High,0.16399999999999998
Stafford County,Grafton Village Elementary,0.243
Tazewell County,Graham High,0.434
Tazewell County,Graham Intermediate,0.5
Tazewell County,Graham Middle,0.47700000000000004
Prince William County,Graham Park Middle,0.54
Fairfax County,Graham Road Elementary,0.8270000000000001
Norfolk City,Granby Elementary,0.9590000000000001
Norfolk City,Granby High,0.55
Roanoke City,Grandin Court Elementary,0.345
Chesterfield County,Grange Hall Elementary,0.11900000000000001
Chesapeake City,Grassfield Elementary,0.233
Chesapeake City,Grassfield High,0.126
Grayson County,Grayson County High,0.568
Grayson County,Grayson Highlands,0.593
Chesapeake City,Great Bridge High,0.18899999999999997
Chesapeake City,Great Bridge Intermediate,0.183
Chesapeake City,Great Bridge Middle,0.166
Fairfax County,Great Falls Elementary,0.031
Virginia Beach City,Great Neck Middle,0.292
Virginia Beach City,Green Run Collegiate,0.444
Virginia Beach City,Green Run Elementary,0.653
Virginia Beach City,Green Run High,0.583
Roanoke County,Green Valley Elementary,0.28300000000000003
Fairfax County,Greenbriar East Elementary,0.259
Fairfax County,Greenbriar West Elementary,0.145
Charlottesville City,Greenbrier Elementary,0.439
Chesapeake City,Greenbrier Intermediate,0.34600000000000003
Chesapeake City,Greenbrier Middle,0.37
Washington County,Greendale Elementary,0.7959999999999999
Botetourt County,Greenfield Elementary,0.29
Chesterfield County,Greenfield Elementary,0.244
Greensville County,Greensville County High,0.9890000000000001
