Division Name,School Name,percentage_english_learners
Colonial Heights City,North Elementary,0.06918238993710692
Colonial Heights City,Tussing Elementary,0.06655290102389079
Covington City,Covington High,0.0
Covington City,Edgemont Primary,0.0
Covington City,Jeter-Watson Intermediate,0.0
Craig County,Craig County High,0.0
Craig County,McCleary Elementary,0.0
Culpeper County,A.G. Richardson Elementary,0.05380333951762523
Culpeper County,Culpeper County High,1.0
Culpeper County,Culpeper Middle,0.10882352941176471
Culpeper County,Eastern View High,1.0
Culpeper County,Emerald Hill Elementary,0.04678362573099415
Culpeper County,Farmington Elementary,0.2962962962962963
Culpeper County,Floyd T. Binns Middle,0.15374677002583978
Culpeper County,Galbreath-Marshall Building,
Culpeper County,Pearl Sample Elementary,0.1703204047217538
Culpeper County,Sycamore Park Elementary,0.2971014492753623
Culpeper County,Yowell Elementary,0.16485225505443235
Cumberland County,Cumberland Elementary,0.0
Cumberland County,Cumberland High,0.0
Cumberland County,Cumberland Middle,0.0
Danville City,Edwin A. Gibson Elementary,0.07721280602636535
Danville City,Forest Hills Elementary,0.0892018779342723
Danville City,G.L.H. Johnson Elementary,0.03131115459882583
Danville City,Galileo Magnet High,0.0
Danville City,George Washington High,1.0
Danville City,Grove Park Preschool,0.0
Danville City,O. Trent Bonner Middle,0.022566995768688293
Danville City,Park Avenue Elementary,0.11825192802056556
Danville City,Schoolfield Elementary,0.05241935483870968
Danville City,The Northside Preschool,0.0
Danville City,Westwood Middle,0.05925925925925926
Danville City,Woodberry Hills Elementary,0.04568527918781726
Dickenson County,Clintwood Elementary,0.0
Dickenson County,Ervinton Elementary,0.0
Dickenson County,Ridgeview High,0.0
Dickenson County,Ridgeview Middle,0.0
Dickenson County,Sandlick Elementary,0.0
Dinwiddie County,Dinwiddie County High,1.0
Dinwiddie County,Dinwiddie County Middle,0.010964912280701754
Dinwiddie County,Dinwiddie Elementary,0.0
Dinwiddie County,Midway Elementary,0.0
Dinwiddie County,Southside Elementary,0.08628318584070796
Dinwiddie County,Sunnyside Elementary,0.0
Dinwiddie County,Sutherland Elementary,0.022304832713754646
Essex County,Essex High,0.0
Essex County,James H. Cary Intermediate,0.04945054945054945
Essex County,Tappahannock Elementary,0.02697495183044316
Fairfax County,Aldrin Elementary,0.19334719334719336
Fairfax County,Annandale High,1.0
Fairfax County,Annandale Terrace Elementary,0.6016260162601627
Fairfax County,Archer Elementary,0.09876543209876543
Fairfax County,Armstrong Elementary,0.10571428571428572
Fairfax County,Bailey's Elementary School for the Arts and Sciences,0.5799492385786802
Fairfax County,Bailey's Upper Elementary School for the Arts and Sciences,0.7145833333333333
Fairfax County,Beech Tree Elementary,0.4604105571847507
Fairfax County,Belle View Elementary,0.26184538653366585
Fairfax County,Belvedere Elementary,0.33861386138613864
Fairfax County,Bonnie Brae Elementary,0.13112582781456952
Fairfax County,Braddock Elementary,0.743030303030303
Fairfax County,Bren Mar Park Elementary,0.45215311004784686
Fairfax County,Brookfield Elementary,0.4750378214826021
Fairfax County,Bryant High,0.5851851851851851
Fairfax County,Bucknell Elementary,0.37130801687763715
Fairfax County,Bull Run Early Childhood Resource Center,0.0
Fairfax County,Bull Run Elementary,0.2816265060240964
Fairfax County,Bush Hill Elementary,0.1570945945945946
Fairfax County,Camelot Elementary,0.3215613382899628
Fairfax County,Cameron Elementary,0.42951541850220265
Fairfax County,Canterbury Woods Elementary,0.08628005657708628
Fairfax County,Cardinal Forest Elementary,0.2265193370165746
Fairfax County,Carson Middle,1.0
Fairfax County,Centre Ridge Elementary,0.45068285280728376
Fairfax County,Centreville Elementary,0.2683923705722071
Fairfax County,Centreville High,1.0
Fairfax County,Chantilly High,1.0
Fairfax County,Cherry Run Elementary,0.05301204819277108
Fairfax County,Chesterbrook Elementary,0.047787610619469026
Fairfax County,Churchill Road Elementary,0.0817391304347826
Fairfax County,Clearview Elementary,0.45698924731182794
Fairfax County,Clermont Elementary,0.1111111111111111
Fairfax County,Coates Elementary,0.45718432510885343
Fairfax County,Columbia Elementary,0.31865284974093266
Fairfax County,Colvin Run Elementary,0.0546448087431694
Fairfax County,Cooper Middle,0.03138075313807531
Fairfax County,Crestwood Elementary,0.6184971098265896
Fairfax County,Crossfield Elementary,0.07427536231884058
Fairfax County,Cub Run Elementary,0.10986964618249534
Fairfax County,Cunningham Park Elementary,0.2860635696821516
Fairfax County,Daniels Run Elementary,0.273224043715847
Fairfax County,Deer Park Elementary,0.20408163265306123
Fairfax County,Dogwood Elementary,0.5691056910569106
Fairfax County,Dranesville Elementary,0.34476843910806176
Fairfax County,Dunn Loring Early Childhood Resource Center,0.0
Fairfax County,Eagle View Elementary,0.24448529411764705
Fairfax County,Edison High,1.0
Fairfax County,Fairfax County Adult High,0.8759124087591241
Fairfax County,Fairfax High,1.0
Fairfax County,Fairfax Villa Elementary,0.23516949152542374
Fairfax County,Fairhill Elementary,0.2865731462925852
Fairfax County,Fairview Elementary,0.05722460658082976
Fairfax County,Falls Church High,1.0
Fairfax County,Flint Hill Elementary,0.05263157894736842
Fairfax County,Floris Elementary,0.17851739788199697
Fairfax County,Forest Edge Elementary,0.35185185185185186
Fairfax County,Forestdale Elementary,0.46496815286624205
Fairfax County,Forestville Elementary,0.056179775280898875
Fairfax County,Fort Belvoir Elementary,0.033566433566433566
Fairfax County,Fort Belvoir Upper Elementary,0.016566265060240965
Fairfax County,Fort Hunt Elementary,0.11205073995771671
Fairfax County,Fox Mill Elementary,0.06039076376554174
Fairfax County,Franconia Elementary,0.25349301397205587
Fairfax County,Franklin Middle,0.0973111395646607
Fairfax County,Freedom Hill Elementary,0.3525641025641026
Fairfax County,Frost Middle,1.0
Fairfax County,Garfield Elementary,0.5789473684210527
Fairfax County,Glasgow Middle,0.4666142969363708
Fairfax County,Glen Forest Elementary,0.6163215590742996
Fairfax County,Graham Road Elementary,0.6147540983606558
Fairfax County,Great Falls Elementary,0.045364891518737675
Fairfax County,Greenbriar East Elementary,0.24647887323943662
Fairfax County,Greenbriar West Elementary,0.16580310880829016
Fairfax County,Groveton Elementary,0.5014367816091954
Fairfax County,Gunston Elementary,0.24266144814090018
Fairfax County,Halley Elementary,0.19320214669051877
Fairfax County,Haycock Elementary,0.035545023696682464
Fairfax County,Hayfield Elementary,0.0987460815047022
Fairfax County,Hayfield Secondary,1.0
Fairfax County,Herndon Elementary,0.5839017735334243
Fairfax County,Herndon High,1.0
Fairfax County,Herndon Middle,0.38259833134684146
Fairfax County,Hollin Meadows Elementary,0.36363636363636365
Fairfax County,Holmes Middle,0.3870481927710843
Fairfax County,Hughes Middle,0.20095693779904306
Fairfax County,Hunt Valley Elementary,0.06929133858267716
Fairfax County,Hunters Woods Elementary School for the Arts and Sciences,0.15261627906976744
Fairfax County,Hutchison Elementary,0.7173038229376257
Fairfax County,Hybla Valley Elementary,0.7385943279901356
Fairfax County,Irving Middle,1.0
Fairfax County,Island Creek Elementary,0.09447674418604651
Fairfax County,Jackson Middle,0.3352735739231665
Fairfax County,Johnson Middle,0.18222222222222223
Fairfax County,Justice High,1.0
Fairfax County,Keene Mill Elementary,0.14202898550724638
Fairfax County,Kent Gardens Elementary,0.10718002081165452
Fairfax County,Key Center,0.38095238095238093
Fairfax County,Key Middle,0.4674329501915709
Fairfax County,Kilmer Center,0.5283018867924528
Fairfax County,Kilmer Middle,0.12385786802030457
Fairfax County,Kings Glen Elementary,0.21406727828746178
Fairfax County,Kings Park Elementary,0.19008264462809918
Fairfax County,Lake Anne Elementary,0.2965009208103131
Fairfax County,Lake Braddock Secondary,1.0
Fairfax County,Lane Elementary,0.16005873715124816
Fairfax County,Langley High,1.0
Fairfax County,Laurel Hill Elementary,0.14992503748125938
Fairfax County,Laurel Ridge Elementary,0.07460732984293193
Fairfax County,Lees Corner Elementary,0.18324607329842932
Fairfax County,Lemon Road Elementary,0.2052980132450331
Fairfax County,Lewis High,1.0
Fairfax County,Liberty Middle,0.19401197604790418
Fairfax County,Little Run Elementary,0.2116788321167883
Fairfax County,London Towne Elementary,0.2791728212703102
Fairfax County,Longfellow Middle,1.0
Fairfax County,Lorton Station Elementary,0.28815977175463625
Fairfax County,Lynbrook Elementary,0.7607476635514019
Fairfax County,Madison High,1.0
Fairfax County,Mantua Elementary,0.1134020618556701
Fairfax County,Marshall High,1.0
Fairfax County,Marshall Road Elementary,0.33699059561128525
Fairfax County,Mason Crest Elementary,0.45699831365935917
Fairfax County,McLean High,1.0
Fairfax County,McNair Elementary,0.34392523364485983
Fairfax County,McNair Upper Elementary,0.25047801147227533
Fairfax County,Mosaic Elementary,0.21325301204819277
Fairfax County,Mount Eagle Elementary,0.5493421052631579
Fairfax County,Mount Vernon High,1.0
Fairfax County,Mount Vernon Woods Elementary,0.5009140767824497
Fairfax County,Mountain View High,0.7058823529411765
Fairfax County,Navy Elementary,0.07168037602820211
Fairfax County,Newington Forest Elementary,0.18199608610567514
Fairfax County,North Springfield Elementary,0.32653061224489793
Fairfax County,Oak Hill Elementary,0.10897435897435898
Fairfax County,Oak View Elementary,0.09358288770053476
Fairfax County,Oakton Elementary,0.12831241283124128
Fairfax County,Oakton High,1.0
Fairfax County,Olde Creek Elementary,0.16300940438871472
Fairfax County,Orange Hunt Elementary,0.07238307349665925
Fairfax County,Parklawn Elementary,0.6036745406824147
Fairfax County,Pimmit Early Childhood Resource Center,0.0
Fairfax County,Pine Spring Elementary,0.5413793103448276
Fairfax County,Poe Middle,0.5530434782608695
Fairfax County,Poplar Tree Elementary,0.10152284263959391
Fairfax County,Powell Elementary,0.20125786163522014
Fairfax County,Providence Elementary,0.3715319662243667
Fairfax County,Ravensworth Elementary,0.1813380281690141
Fairfax County,Riverside Elementary,0.41626794258373206
Fairfax County,Robinson Secondary,1.0
Fairfax County,Rocky Run Middle,0.05064655172413793
Fairfax County,Rolling Valley Elementary,0.24
Fairfax County,Rose Hill Elementary,0.3184818481848185
Fairfax County,Sandburg Middle,0.20843672456575682
Fairfax County,Sangster Elementary,0.029171528588098017
Fairfax County,Saratoga Elementary,0.2716049382716049
Fairfax County,Sherman Elementary,0.1606060606060606
Fairfax County,Shrevewood Elementary,0.3215434083601286
Fairfax County,Silverbrook Elementary,0.047182175622542594
Fairfax County,Sleepy Hollow Elementary,0.6057007125890737
Fairfax County,South County High,1.0
Fairfax County,South County Middle,0.05975197294250282
Fairfax County,South Lakes High,1.0
Fairfax County,Spring Hill Elementary,0.15424164524421594
Fairfax County,Springfield Estates Elementary,0.26996197718631176
Fairfax County,Stenwood Elementary,0.10059171597633136
Fairfax County,Stone Middle,0.1732418524871355
Fairfax County,Stratford Landing Elementary,0.058655221745350504
Fairfax County,Sunrise Valley Elementary,0.09251968503937008
Fairfax County,Terra Centre Elementary,0.09137055837563451
Fairfax County,Terraset Elementary,0.18596491228070175
Fairfax County,Thomas Jefferson High for Science and Technology,
Fairfax County,Thoreau Middle,0.10348071495766697
Fairfax County,Timber Lane Elementary,0.4074074074074074
Fairfax County,Twain Middle,0.14469078179696615
Fairfax County,Union Mill Elementary,0.11571254567600488
Fairfax County,Vienna Elementary,0.07647058823529412
Fairfax County,Virginia Hills Early Childhood Resource Center,0.0
Fairfax County,Virginia Run Elementary,0.32558139534883723
Fairfax County,Wakefield Forest Elementary,0.07523510971786834
Fairfax County,Waples Mill Elementary,0.11895910780669144
Fairfax County,Washington Mill Elementary,0.3446327683615819
Fairfax County,Waynewood Elementary,0.0
Fairfax County,West Potomac High,1.0
