School,Division,Poverty_Level,Title1_Code,Percent_of_Inexperienced_Teachers,Percent_of_Out_of_Field_Teachers,Percent_of_Out_of_Field_and_Inexperienced_Teachers,Sch_Div
Greendale Elementary,Washington County Public Schools,Medium Poverty,Title I,0,2.4,0,Greendale Elementary Washington County Public Schools
Watauga Elementary,Washington County Public Schools,Medium Poverty,Title I,2.3,2.3,0,Watauga Elementary Washington County Public Schools
Damascus Middle,Washington County Public Schools,Medium Poverty,Non-Title I,0,0,0,Damascus Middle Washington County Public Schools
Meadowview Elementary,Washington County Public Schools,Medium Poverty,Title I,5,3.3,0,Meadowview Elementary Washington County Public Schools
Glade Spring Middle,Washington County Public Schools,High Poverty,Non-Title I,1.8,0,0,Glade Spring Middle Washington County Public Schools
Rhea Valley Elementary,Washington County Public Schools,Medium Poverty,Title I,0,2.4,0,Rhea Valley Elementary Washington County Public Schools
Patrick Henry High,Washington County Public Schools,Medium Poverty,Non-Title I,1.6,9.5,1.6,Patrick Henry High Washington County Public Schools
Holston High,Washington County Public Schools,Medium Poverty,Non-Title I,2.6,5.1,0,Holston High Washington County Public Schools
High Point Elementary,Washington County Public Schools,Medium Poverty,Title I,1.9,1.9,0,High Point Elementary Washington County Public Schools
Belfield Elementary,Greensville County Public Schools,High Poverty,Title I,6.3,12.5,6.3,Belfield Elementary Greensville County Public Schools
Greensville Elementary,Greensville County Public Schools,High Poverty,Title I,4.2,2.8,1.4,Greensville Elementary Greensville County Public Schools
Greensville County High,Greensville County Public Schools,High Poverty,Non-Title I,7.1,23.2,5.4,Greensville County High Greensville County Public Schools
Edward W. Wyatt Middle,Greensville County Public Schools,High Poverty,Non-Title I,0,0,0,Edward W. Wyatt Middle Greensville County Public Schools
King George Elementary,King George County Public Schools,Medium Poverty,Title I,0,3,0,King George Elementary King George County Public Schools
King George High,King George County Public Schools,Low Poverty,Non-Title I,8,25,5,King George High King George County Public Schools
King George Middle,King George County Public Schools,Low Poverty,Non-Title I,7.8,23.4,5.2,King George Middle King George County Public Schools
Potomac Elementary,King George County Public Schools,Low Poverty,Title I,0,7.1,0,Potomac Elementary King George County Public Schools
Manassas Park Elementary,Manassas Park City Public Schools,Medium Poverty,Title I,14.1,3.1,3.1,Manassas Park Elementary Manassas Park City Public Schools
Manassas Park Middle,Manassas Park City Public Schools,High Poverty,Non-Title I,15.6,9.4,7.8,Manassas Park Middle Manassas Park City Public Schools
Manassas Park High,Manassas Park City Public Schools,Medium Poverty,Non-Title I,6.8,6.8,2.7,Manassas Park High Manassas Park City Public Schools
Clarksville Elementary,Mecklenburg County Public Schools,High Poverty,Title I,0,11.4,0,Clarksville Elementary Mecklenburg County Public Schools
Chase City Elementary,Mecklenburg County Public Schools,High Poverty,Title I,11.8,8.8,5.9,Chase City Elementary Mecklenburg County Public Schools
South Hill Elementary,Mecklenburg County Public Schools,High Poverty,Title I,8.3,6.7,5,South Hill Elementary Mecklenburg County Public Schools
Occohannock Elementary,Northampton County Public Schools,High Poverty,Title I,22.9,2.9,2.9,Occohannock Elementary Northampton County Public Schools
Northampton High,Northampton County Public Schools,High Poverty,Non-Title I,19.5,4.9,4.9,Northampton High Northampton County Public Schools
Northampton Middle,Northampton County Public Schools,High Poverty,Non-Title I,19.2,3.8,3.8,Northampton Middle Northampton County Public Schools
Kiptopeke Elementary,Northampton County Public Schools,High Poverty,Title I,5.4,2.7,2.7,Kiptopeke Elementary Northampton County Public Schools
Capron Elementary,Southampton County Public Schools,Medium Poverty,Title I,4.3,4.3,0,Capron Elementary Southampton County Public Schools
Nottoway Elementary,Southampton County Public Schools,Medium Poverty,Title I,4,24,0,Nottoway Elementary Southampton County Public Schools
Meherrin Elementary,Southampton County Public Schools,Medium Poverty,Title I,15.4,19.2,3.8,Meherrin Elementary Southampton County Public Schools
Southampton Middle,Southampton County Public Schools,Medium Poverty,Non-Title I,15.6,31.1,13.3,Southampton Middle Southampton County Public Schools
Riverdale Elementary,Southampton County Public Schools,Medium Poverty,Title I,0,5,0,Riverdale Elementary Southampton County Public Schools
Southampton High,Southampton County Public Schools,Medium Poverty,Non-Title I,20,20,14,Southampton High Southampton County Public Schools
Covington High,Alleghany Highlands Public Schools,Medium Poverty,Non-Title I,11.5,0,0,Covington High Alleghany Highlands Public Schools
Jeter-Watson Elementary,Alleghany Highlands Public Schools,Medium Poverty,Non-Title I,9.5,0,0,Jeter-Watson Elementary Alleghany Highlands Public Schools
Mountain View Elementary,Alleghany Highlands Public Schools,Medium Poverty,Title I,15.6,12.5,9.4,Mountain View Elementary Alleghany Highlands Public Schools
Clifton Middle,Alleghany Highlands Public Schools,Medium Poverty,Non-Title I,10.3,12.8,0,Clifton Middle Alleghany Highlands Public Schools
Sharon Elementary,Alleghany Highlands Public Schools,Medium Poverty,Title I,0,5.3,0,Sharon Elementary Alleghany Highlands Public Schools
Alleghany High,Alleghany Highlands Public Schools,Medium Poverty,Non-Title I,12.2,8.2,0,Alleghany High Alleghany Highlands Public Schools
Callaghan Elementary,Alleghany Highlands Public Schools,Medium Poverty,Title I,10,0,0,Callaghan Elementary Alleghany Highlands Public Schools
Charles City County Elementary,Charles City County Public Schools,Medium Poverty,Title I,23.8,4.8,0,Charles City County Elementary Charles City County Public Schools
Charles City County High,Charles City County Public Schools,Medium Poverty,Title I,0,9.7,0,Charles City County High Charles City County Public Schools
Carver College and Career Academy,Chesterfield County Public Schools,Medium Poverty,Non-Title I,2.3,4.5,0,Carver College and Career Academy Chesterfield County Public Schools
Carver Middle,Chesterfield County Public Schools,Medium Poverty,Non-Title I,10.8,9.6,3.6,Carver Middle Chesterfield County Public Schools
Elizabeth Davis Middle,Chesterfield County Public Schools,Medium Poverty,Non-Title I,10.4,8.5,2.8,Elizabeth Davis Middle Chesterfield County Public Schools
Elizabeth Scott Elementary,Chesterfield County Public Schools,Medium Poverty,Title I,10.1,4.3,1.4,Elizabeth Scott Elementary Chesterfield County Public Schools
Cosby High,Chesterfield County Public Schools,Low Poverty,Non-Title I,4.2,1.4,0,Cosby High Chesterfield County Public Schools
Evergreen Elementary,Chesterfield County Public Schools,Low Poverty,Non-Title I,7.1,0,0,Evergreen Elementary Chesterfield County Public Schools
Old Hundred Elementary,Chesterfield County Public Schools,Low Poverty,Non-Title I,9.5,4.8,3.2,Old Hundred Elementary Chesterfield County Public Schools
Tomahawk Creek Middle,Chesterfield County Public Schools,Low Poverty,Non-Title I,2.6,1.7,0,Tomahawk Creek Middle Chesterfield County Public Schools
Bon Air Elementary,Chesterfield County Public Schools,Medium Poverty,Non-Title I,4.1,2,0,Bon Air Elementary Chesterfield County Public Schools
Ecoff Elementary,Chesterfield County Public Schools,Medium Poverty,Title I,1.8,1.8,1.8,Ecoff Elementary Chesterfield County Public Schools
C.E. Curtis Elementary,Chesterfield County Public Schools,Medium Poverty,Title I,1.7,1.7,0,C.E. Curtis Elementary Chesterfield County Public Schools
Thomas Dale High,Chesterfield County Public Schools,Medium Poverty,Non-Title I,7.2,4.4,1.7,Thomas Dale High Chesterfield County Public Schools
C.C. Wells Elementary,Chesterfield County Public Schools,Medium Poverty,Non-Title I,10.9,2.2,2.2,C.C. Wells Elementary Chesterfield County Public Schools
J.A. Chalkley Elementary,Chesterfield County Public Schools,High Poverty,Title I,3.7,1.2,0,J.A. Chalkley Elementary Chesterfield County Public Schools
Winterpock Elementary,Chesterfield County Public Schools,Low Poverty,Non-Title I,8.3,0,0,Winterpock Elementary Chesterfield County Public Schools
Matoaca High,Chesterfield County Public Schools,Medium Poverty,Non-Title I,2.4,4,1.6,Matoaca High Chesterfield County Public Schools
Matoaca Middle,Chesterfield County Public Schools,Medium Poverty,Non-Title I,12.2,5.4,5.4,Matoaca Middle Chesterfield County Public Schools
Crestwood Elementary,Chesterfield County Public Schools,Medium Poverty,Title I,7,0,0,Crestwood Elementary Chesterfield County Public Schools
Falling Creek Elementary,Chesterfield County Public Schools,High Poverty,Title I,7.8,1.3,0,Falling Creek Elementary Chesterfield County Public Schools
Monacan High,Chesterfield County Public Schools,Low Poverty,Non-Title I,6.2,8.8,1.8,Monacan High Chesterfield County Public Schools
Alberta Smith Elementary,Chesterfield County Public Schools,Low Poverty,Non-Title I,4.2,0,0,Alberta Smith Elementary Chesterfield County Public Schools
Spring Run Elementary,Chesterfield County Public Schools,Low Poverty,Non-Title I,1.6,0,0,Spring Run Elementary Chesterfield County Public Schools
Bailey Bridge Middle,Chesterfield County Public Schools,Low Poverty,Non-Title I,15,8,8,Bailey Bridge Middle Chesterfield County Public Schools
Manchester High,Chesterfield County Public Schools,Low Poverty,Non-Title I,7.2,3.6,1.2,Manchester High Chesterfield County Public Schools
Clover Hill High,Chesterfield County Public Schools,Low Poverty,Non-Title I,3.3,1.7,0,Clover Hill High Chesterfield County Public Schools
Thelma Crenshaw Elementary,Chesterfield County Public Schools,Medium Poverty,Title I,7,0,0,Thelma Crenshaw Elementary Chesterfield County Public Schools
Swift Creek Elementary,Chesterfield County Public Schools,Low Poverty,Non-Title I,0,0,0,Swift Creek Elementary Chesterfield County Public Schools
Swift Creek Middle,Chesterfield County Public Schools,Low Poverty,Non-Title I,5.7,2.3,1.1,Swift Creek Middle Chesterfield County Public Schools
Woolridge Elementary,Chesterfield County Public Schools,Low Poverty,Non-Title I,10.5,1.8,1.8,Woolridge Elementary Chesterfield County Public Schools
Robious Middle,Chesterfield County Public Schools,Low Poverty,Non-Title I,3.3,1.1,1.1,Robious Middle Chesterfield County Public Schools
Robious Elementary,Chesterfield County Public Schools,Low Poverty,Non-Title I,3.8,3.8,0,Robious Elementary Chesterfield County Public Schools
Bettie Weaver Elementary,Chesterfield County Public Schools,Low Poverty,Non-Title I,4.3,2.2,2.2,Bettie Weaver Elementary Chesterfield County Public Schools
Midlothian Middle,Chesterfield County Public Schools,Low Poverty,Non-Title I,2.1,0,0,Midlothian Middle Chesterfield County Public Schools
J.B. Watkins Elementary,Chesterfield County Public Schools,Low Poverty,Non-Title I,1.6,0,0,J.B. Watkins Elementary Chesterfield County Public Schools
Lloyd C. Bird High,Chesterfield County Public Schools,Medium Poverty,Non-Title I,10.2,4.7,1.6,Lloyd C. Bird High Chesterfield County Public Schools
Jacobs Road Elementary,Chesterfield County Public Schools,Medium Poverty,Title I,9.5,1.6,0,Jacobs Road Elementary Chesterfield County Public Schools
Marguerite F. Christian Elementary,Chesterfield County Public Schools,Medium Poverty,Title I,6.6,1.6,0,Marguerite F. Christian Elementary Chesterfield County Public Schools
Falling Creek Middle,Chesterfield County Public Schools,High Poverty,Title I,12.2,10.4,6.1,Falling Creek Middle Chesterfield County Public Schools
Meadowbrook High,Chesterfield County Public Schools,Medium Poverty,Non-Title I,10.3,7.7,4.5,Meadowbrook High Chesterfield County Public Schools
Hopkins Road Elementary,Chesterfield County Public Schools,Medium Poverty,Title I,11.6,2.9,2.9,Hopkins Road Elementary Chesterfield County Public Schools
Greenfield Elementary,Chesterfield County Public Schools,Low Poverty,Non-Title I,2.3,0,0,Greenfield Elementary Chesterfield County Public Schools
Providence Middle,Chesterfield County Public Schools,Medium Poverty,Non-Title I,6,7.2,0,Providence Middle Chesterfield County Public Schools
Manchester Middle,Chesterfield County Public Schools,Medium Poverty,Non-Title I,5.7,1.1,0,Manchester Middle Chesterfield County Public Schools
Providence Elementary,Chesterfield County Public Schools,Medium Poverty,Title I,10.5,1.8,1.8,Providence Elementary Chesterfield County Public Schools
Bensley Elementary,Chesterfield County Public Schools,High Poverty,Title I,8.8,0,0,Bensley Elementary Chesterfield County Public Schools
Beulah Elementary,Chesterfield County Public Schools,Medium Poverty,Title I,6.7,1.3,0,Beulah Elementary Chesterfield County Public Schools
Salem Church Middle,Chesterfield County Public Schools,Medium Poverty,Non-Title I,9.1,1.3,0,Salem Church Middle Chesterfield County Public Schools
Salem Church Elementary,Chesterfield County Public Schools,Medium Poverty,Title I,12.8,0,0,Salem Church Elementary Chesterfield County Public Schools
Bellwood Elementary,Chesterfield County Public Schools,High Poverty,Title I,9.6,0,0,Bellwood Elementary Chesterfield County Public Schools
Matoaca Elementary,Chesterfield County Public Schools,Medium Poverty,Title I,7.8,0,0,Matoaca Elementary Chesterfield County Public Schools
J.G. Hening Elementary,Chesterfield County Public Schools,Medium Poverty,Title I,8.6,2.9,2.9,J.G. Hening Elementary Chesterfield County Public Schools
Harrowgate Elementary,Chesterfield County Public Schools,High Poverty,Title I,2.3,0,0,Harrowgate Elementary Chesterfield County Public Schools
James River High,Chesterfield County Public Schools,Low Poverty,Non-Title I,3.7,2.2,0,James River High Chesterfield County Public Schools
Midlothian High,Chesterfield County Public Schools,Low Poverty,Non-Title I,6.4,2.1,0.7,Midlothian High Chesterfield County Public Schools
A.M. Davis Elementary,Chesterfield County Public Schools,Medium Poverty,Title I,7.6,0,0,A.M. Davis Elementary Chesterfield County Public Schools
Ettrick Elementary,Chesterfield County Public Schools,High Poverty,Title I,12.5,0,0,Ettrick Elementary Chesterfield County Public Schools
Reams Road Elementary,Chesterfield County Public Schools,Medium Poverty,Title I,16.4,0,0,Reams Road Elementary Chesterfield County Public Schools
O.B. Gates Elementary,Chesterfield County Public Schools,Medium Poverty,Non-Title I,11.3,1.6,1.6,O.B. Gates Elementary Chesterfield County Public Schools
Clover Hill Elementary,Chesterfield County Public Schools,Low Poverty,Non-Title I,5.3,3.5,1.8,Clover Hill Elementary Chesterfield County Public Schools
W.W. Gordon Elementary,Chesterfield County Public Schools,Low Poverty,Non-Title I,0,0,0,W.W. Gordon Elementary Chesterfield County Public Schools
Grange Hall Elementary,Chesterfield County Public Schools,Low Poverty,Non-Title I,7.9,3.2,3.2,Grange Hall Elementary Chesterfield County Public Schools
Enon Elementary,Chesterfield County Public Schools,Medium Poverty,Non-Title I,3.6,0,0,Enon Elementary Chesterfield County Public Schools
Hugh Mercer Elementary,Fredericksburg City Public Schools,High Poverty,Title I,5.1,3.8,1.3,Hugh Mercer Elementary Fredericksburg City Public Schools
James Monroe High,Fredericksburg City Public Schools,Medium Poverty,Non-Title I,9.8,6.5,2.2,James Monroe High Fredericksburg City Public Schools
Lafayette Elementary,Fredericksburg City Public Schools,High Poverty,Title I,5.2,5.2,1.3,Lafayette Elementary Fredericksburg City Public Schools
Walker-Grant Middle,Fredericksburg City Public Schools,High Poverty,Title I,17.9,9.5,6,Walker-Grant Middle Fredericksburg City Public Schools
Acquinton Elementary,King William County Public Schools,Low Poverty,Non-Title I,0,2.7,0,Acquinton Elementary King William County Public Schools
Hamilton Holmes Middle,King William County Public Schools,Low Poverty,Non-Title I,0,11.9,0,Hamilton Holmes Middle King William County Public Schools
King William High,King William County Public Schools,Low Poverty,Non-Title I,0,3.8,0,King William High King William County Public Schools
John L. Hurt Elementary,Pittsylvania County Public Schools,High Poverty,Title I,13,0,0,John L. Hurt Elementary Pittsylvania County Public Schools
Gretna High,Pittsylvania County Public Schools,Medium Poverty,Non-Title I,6.9,1.7,0,Gretna High Pittsylvania County Public Schools
Mount Airy Elementary,Pittsylvania County Public Schools,High Poverty,Title I,0,0,0,Mount Airy Elementary Pittsylvania County Public Schools
Chatham Elementary,Pittsylvania County Public Schools,High Poverty,Title I,8,4,4,Chatham Elementary Pittsylvania County Public Schools
Chatham High,Pittsylvania County Public Schools,Medium Poverty,Non-Title I,6,2,0,Chatham High Pittsylvania County Public Schools
Union Hall Elementary,Pittsylvania County Public Schools,High Poverty,Title I,0,0,0,Union Hall Elementary Pittsylvania County Public Schools
Twin Springs Elementary,Pittsylvania County Public Schools,Medium Poverty,Non-Title I,3.9,0,0,Twin Springs Elementary Pittsylvania County Public Schools
Tunstall High,Pittsylvania County Public Schools,Medium Poverty,Non-Title I,5.1,12.8,0,Tunstall High Pittsylvania County Public Schools
Tunstall Middle,Pittsylvania County Public Schools,Medium Poverty,Non-Title I,5.1,0,0,Tunstall Middle Pittsylvania County Public Schools
Dan River Middle,Pittsylvania County Public Schools,Medium Poverty,Title I,3.8,5.8,1.9,Dan River Middle Pittsylvania County Public Schools
Kentuck Elementary,Pittsylvania County Public Schools,Medium Poverty,Title I,6.5,2.2,0,Kentuck Elementary Pittsylvania County Public Schools
Gretna Middle,Pittsylvania County Public Schools,High Poverty,Title I,4.5,0,0,Gretna Middle Pittsylvania County Public Schools
Stony Mill Elementary,Pittsylvania County Public Schools,Medium Poverty,Title I,5.6,0,0,Stony Mill Elementary Pittsylvania County Public Schools
Southside Elementary,Pittsylvania County Public Schools,Medium Poverty,Title I,0,0,0,Southside Elementary Pittsylvania County Public Schools
Chatham Middle,Pittsylvania County Public Schools,Medium Poverty,Title I,4.3,0,0,Chatham Middle Pittsylvania County Public Schools
Dan River High,Pittsylvania County Public Schools,Medium Poverty,Non-Title I,1.4,7.2,0,Dan River High Pittsylvania County Public Schools
Gretna Elementary,Pittsylvania County Public Schools,High Poverty,Title I,4.8,0,0,Gretna Elementary Pittsylvania County Public Schools
Rappahannock County High,Rappahannock County Public Schools,Low Poverty,Non-Title I,2.7,16.2,0,Rappahannock County High Rappahannock County Public Schools
Rappahannock County Elementary,Rappahannock County Public Schools,Medium Poverty,Title I,10,0,0,Rappahannock County Elementary Rappahannock County Public Schools
Thornburg Middle,Spotsylvania County Public Schools,Medium Poverty,Non-Title I,11.7,13.3,3.3,Thornburg Middle Spotsylvania County Public Schools
Brock Road Elementary,Spotsylvania County Public Schools,Low Poverty,Non-Title I,9.1,9.1,4.5,Brock Road Elementary Spotsylvania County Public Schools
Courthouse Road Elementary,Spotsylvania County Public Schools,Medium Poverty,Non-Title I,9.8,2,0,Courthouse Road Elementary Spotsylvania County Public Schools
Courtland Elementary,Spotsylvania County Public Schools,Medium Poverty,Non-Title I,5.3,0,0,Courtland Elementary Spotsylvania County Public Schools
Courtland High,Spotsylvania County Public Schools,Low Poverty,Non-Title I,7.3,6.3,2.1,Courtland High Spotsylvania County Public Schools
Ni River Middle,Spotsylvania County Public Schools,Low Poverty,Non-Title I,13,13,7.4,Ni River Middle Spotsylvania County Public Schools
Post Oak Middle,Spotsylvania County Public Schools,Medium Poverty,Non-Title I,14.5,9.1,0,Post Oak Middle Spotsylvania County Public Schools
Spotsylvania Elementary,Spotsylvania County Public Schools,Medium Poverty,Non-Title I,8.6,2.9,2.9,Spotsylvania Elementary Spotsylvania County Public Schools
Spotsylvania Middle,Spotsylvania County Public Schools,Low Poverty,Non-Title I,18.8,7.8,3.1,Spotsylvania Middle Spotsylvania County Public Schools
Battlefield Elementary,Spotsylvania County Public Schools,Medium Poverty,Title I,20,10,8,Battlefield Elementary Spotsylvania County Public Schools
Battlefield Middle,Spotsylvania County Public Schools,Medium Poverty,Non-Title I,10,8.3,3.3,Battlefield Middle Spotsylvania County Public Schools
Chancellor High,Spotsylvania County Public Schools,Medium Poverty,Non-Title I,10.1,13.1,4,Chancellor High Spotsylvania County Public Schools
Freedom Middle,Spotsylvania County Public Schools,Medium Poverty,Non-Title I,11.3,22.6,8.1,Freedom Middle Spotsylvania County Public Schools
Harrison Road Elementary,Spotsylvania County Public Schools,Medium Poverty,Title I,15.8,5.3,5.3,Harrison Road Elementary Spotsylvania County Public Schools
Parkside Elementary,Spotsylvania County Public Schools,Medium Poverty,Non-Title I,8.5,6.8,5.1,Parkside Elementary Spotsylvania County Public Schools
Salem Elementary,Spotsylvania County Public Schools,Medium Poverty,Title I,15.2,10.9,4.3,Salem Elementary Spotsylvania County Public Schools
Smith Station Elementary,Spotsylvania County Public Schools,Medium Poverty,Non-Title I,10.6,10.6,4.3,Smith Station Elementary Spotsylvania County Public Schools
Lee Hill Elementary,Spotsylvania County Public Schools,Medium Poverty,Title I,4.4,4.4,4.4,Lee Hill Elementary Spotsylvania County Public Schools
Spotswood Elementary,Spotsylvania County Public Schools,Medium Poverty,Title I,15,12.5,7.5,Spotswood Elementary Spotsylvania County Public Schools
Livingston Elementary,Spotsylvania County Public Schools,Medium Poverty,Title I,3.2,3.2,3.2,Livingston Elementary Spotsylvania County Public Schools
Cedar Forest Elementary,Spotsylvania County Public Schools,Medium Poverty,Title I,13.5,3.8,1.9,Cedar Forest Elementary Spotsylvania County Public Schools
Spotsylvania High,Spotsylvania County Public Schools,Medium Poverty,Non-Title I,13.3,13.3,9.2,Spotsylvania High Spotsylvania County Public Schools
Riverview Elementary,Spotsylvania County Public Schools,Medium Poverty,Title I,6.7,0,0,Riverview Elementary Spotsylvania County Public Schools
Chancellor Elementary,Spotsylvania County Public Schools,Low Poverty,Non-Title I,20,16.7,16.7,Chancellor Elementary Spotsylvania County Public Schools
Chancellor Middle,Spotsylvania County Public Schools,Medium Poverty,Non-Title I,6.6,11.5,4.9,Chancellor Middle Spotsylvania County Public Schools
Wilderness Elementary,Spotsylvania County Public Schools,Medium Poverty,Non-Title I,0,5.9,0,Wilderness Elementary Spotsylvania County Public Schools
Massaponax High,Spotsylvania County Public Schools,Medium Poverty,Non-Title I,13.3,10.8,5.8,Massaponax High Spotsylvania County Public Schools
Berkeley Elementary,Spotsylvania County Public Schools,Medium Poverty,Title I,6.5,6.5,6.5,Berkeley Elementary Spotsylvania County Public Schools
Virginia Beach Middle,Virginia Beach City Public Schools,Medium Poverty,Non-Title I,1.8,7,0,Virginia Beach Middle Virginia Beach City Public Schools
Kingston Elementary,Virginia Beach City Public Schools,Low Poverty,Non-Title I,2.9,0,0,Kingston Elementary Virginia Beach City Public Schools
Plaza Middle,Virginia Beach City Public Schools,Medium Poverty,Non-Title I,4.6,3.4,0,Plaza Middle Virginia Beach City Public Schools
Windsor Oaks Elementary,Virginia Beach City Public Schools,Medium Poverty,Non-Title I,0,2.7,0,Windsor Oaks Elementary Virginia Beach City Public Schools
Windsor Woods Elementary,Virginia Beach City Public Schools,Medium Poverty,Non-Title I,15.4,0,0,Windsor Woods Elementary Virginia Beach City Public Schools
Christopher Farms Elementary,Virginia Beach City Public Schools,Low Poverty,Non-Title I,8.3,2.8,0,Christopher Farms Elementary Virginia Beach City Public Schools
Green Run Elementary,Virginia Beach City Public Schools,Medium Poverty,Title I,19.4,0,0,Green Run Elementary Virginia Beach City Public Schools
Parkway Elementary,Virginia Beach City Public Schools,High Poverty,Title I,2.6,0,0,Parkway Elementary Virginia Beach City Public Schools
Princess Anne Middle,Virginia Beach City Public Schools,Low Poverty,Non-Title I,2.2,2.2,0,Princess Anne Middle Virginia Beach City Public Schools
Alanton Elementary,Virginia Beach City Public Schools,Medium Poverty,Non-Title I,6.3,0,0,Alanton Elementary Virginia Beach City Public Schools
Great Neck Middle,Virginia Beach City Public Schools,Low Poverty,Non-Title I,2.7,20,1.3,Great Neck Middle Virginia Beach City Public Schools
John B. Dey Elementary,Virginia Beach City Public Schools,Low Poverty,Non-Title I,8.2,0,0,John B. Dey Elementary Virginia Beach City Public Schools
Linkhorn Park Elementary,Virginia Beach City Public Schools,Medium Poverty,Non-Title I,5.4,0,0,Linkhorn Park Elementary Virginia Beach City Public Schools
Lynnhaven Middle,Virginia Beach City Public Schools,Medium Poverty,Non-Title I,3.7,1.2,0,Lynnhaven Middle Virginia Beach City Public Schools
Luxford Elementary,Virginia Beach City Public Schools,Medium Poverty,Title I,5.3,0,0,Luxford Elementary Virginia Beach City Public Schools
Old Donation School,Virginia Beach City Public Schools,Low Poverty,Non-Title I,1.1,4.5,0,Old Donation School Virginia Beach City Public Schools
Shelton Park Elementary,Virginia Beach City Public Schools,Medium Poverty,Non-Title I,5.9,2.9,0,Shelton Park Elementary Virginia Beach City Public Schools
Thoroughgood Elementary,Virginia Beach City Public Schools,Low Poverty,Non-Title I,2,4.1,0,Thoroughgood Elementary Virginia Beach City Public Schools
Floyd Kellam High,Virginia Beach City Public Schools,Low Poverty,Non-Title I,4.3,0.7,0,Floyd Kellam High Virginia Beach City Public Schools
Landstown Elementary,Virginia Beach City Public Schools,Medium Poverty,Non-Title I,3.4,0,0,Landstown Elementary Virginia Beach City Public Schools
Landstown High,Virginia Beach City Public Schools,Medium Poverty,Non-Title I,7.1,0.7,0,Landstown High Virginia Beach City Public Schools
Landstown Middle,Virginia Beach City Public Schools,Medium Poverty,Non-Title I,1.1,4.5,0,Landstown Middle Virginia Beach City Public Schools
New Castle Elementary,Virginia Beach City Public Schools,Low Poverty,Non-Title I,4.4,0,0,New Castle Elementary Virginia Beach City Public Schools
Rosemont Forest Elementary,Virginia Beach City Public Schools,Low Poverty,Non-Title I,6.5,3.2,3.2,Rosemont Forest Elementary Virginia Beach City Public Schools
Salem Elementary,Virginia Beach City Public Schools,Medium Poverty,Non-Title I,3.1,0,0,Salem Elementary Virginia Beach City Public Schools
Strawbridge Elementary,Virginia Beach City Public Schools,Low Poverty,Non-Title I,0,2.5,0,Strawbridge Elementary Virginia Beach City Public Schools
Three Oaks Elementary,Virginia Beach City Public Schools,Low Poverty,Non-Title I,2.3,2.3,2.3,Three Oaks Elementary Virginia Beach City Public Schools
Bayside Middle,Virginia Beach City Public Schools,High Poverty,Title I,7.6,2.5,0,Bayside Middle Virginia Beach City Public Schools
Newtown Elementary,Virginia Beach City Public Schools,High Poverty,Title I,10.3,0,0,Newtown Elementary Virginia Beach City Public Schools
Point O' View Elementary,Virginia Beach City Public Schools,Medium Poverty,Title I,3.6,0,0,Point O' View Elementary Virginia Beach City Public Schools
Brandon Middle,Virginia Beach City Public Schools,Medium Poverty,Non-Title I,1.2,4.9,0,Brandon Middle Virginia Beach City Public Schools
Indian Lakes Elementary,Virginia Beach City Public Schools,Medium Poverty,Non-Title I,0,0,0,Indian Lakes Elementary Virginia Beach City Public Schools
Kempsville Elementary,Virginia Beach City Public Schools,Medium Poverty,Non-Title I,0,0,0,Kempsville Elementary Virginia Beach City Public Schools
Tallwood High,Virginia Beach City Public Schools,Medium Poverty,Non-Title I,3.1,2.3,0,Tallwood High Virginia Beach City Public Schools
Salem High,Virginia Beach City Public Schools,Medium Poverty,Non-Title I,4.2,5,0.8,Salem High Virginia Beach City Public Schools
W.T. Cooke Elementary,Virginia Beach City Public Schools,Medium Poverty,Non-Title I,2.5,2.5,0,W.T. Cooke Elementary Virginia Beach City Public Schools
Holland Elementary,Virginia Beach City Public Schools,High Poverty,Title I,2.6,0,0,Holland Elementary Virginia Beach City Public Schools
King's Grant Elementary,Virginia Beach City Public Schools,Medium Poverty,Non-Title I,13.5,5.4,0,King's Grant Elementary Virginia Beach City Public Schools
Brookwood Elementary,Virginia Beach City Public Schools,Medium Poverty,Title I,5.3,0,0,Brookwood Elementary Virginia Beach City Public Schools
Frank W. Cox High,Virginia Beach City Public Schools,Low Poverty,Non-Title I,3.4,0,0,Frank W. Cox High Virginia Beach City Public Schools
Trantwood Elementary,Virginia Beach City Public Schools,Low Poverty,Non-Title I,0,0,0,Trantwood Elementary Virginia Beach City Public Schools
First Colonial High,Virginia Beach City Public Schools,Medium Poverty,Non-Title I,4.3,4.3,0,First Colonial High Virginia Beach City Public Schools
Corporate Landing Elementary,Virginia Beach City Public Schools,Medium Poverty,Non-Title I,7,2.3,0,Corporate Landing Elementary Virginia Beach City Public Schools
Hermitage Elementary,Virginia Beach City Public Schools,Medium Poverty,Non-Title I,2.6,0,0,Hermitage Elementary Virginia Beach City Public Schools
Bayside Elementary,Virginia Beach City Public Schools,Medium Poverty,Title I,10.3,0,0,Bayside Elementary Virginia Beach City Public Schools
Bayside High,Virginia Beach City Public Schools,Medium Poverty,Non-Title I,3.8,8.3,0,Bayside High Virginia Beach City Public Schools
Pembroke Meadows Elementary,Virginia Beach City Public Schools,Medium Poverty,Non-Title I,0,0,0,Pembroke Meadows Elementary Virginia Beach City Public Schools
Green Run High,Virginia Beach City Public Schools,Medium Poverty,Non-Title I,1.8,1.8,0,Green Run High Virginia Beach City Public Schools
North Landing Elementary,Virginia Beach City Public Schools,Low Poverty,Non-Title I,0,6.5,0,North Landing Elementary Virginia Beach City Public Schools
