School,Division,Degree_Percent,Degree_Type,Sch_Div
Spiller Elementary,Wythe County Public Schools,0,Doctoral Degree,Spiller Elementary Wythe County Public Schools
Fort Chiswell High,Wythe County Public Schools,66,Bachelor's Degree,Fort Chiswell High Wythe County Public Schools
Fort Chiswell High,Wythe County Public Schools,27,Master's Degree,Fort Chiswell High Wythe County Public Schools
Fort Chiswell High,Wythe County Public Schools,0,Doctoral Degree,Fort Chiswell High Wythe County Public Schools
Fort Chiswell Middle,Wythe County Public Schools,66,Bachelor's Degree,Fort Chiswell Middle Wythe County Public Schools
Fort Chiswell Middle,Wythe County Public Schools,31,Master's Degree,Fort Chiswell Middle Wythe County Public Schools
Fort Chiswell Middle,Wythe County Public Schools,0,Doctoral Degree,Fort Chiswell Middle Wythe County Public Schools
Rural Retreat Middle,Wythe County Public Schools,64,Bachelor's Degree,Rural Retreat Middle Wythe County Public Schools
Rural Retreat Middle,Wythe County Public Schools,36,Master's Degree,Rural Retreat Middle Wythe County Public Schools
Rural Retreat Middle,Wythe County Public Schools,0,Doctoral Degree,Rural Retreat Middle Wythe County Public Schools
Rural Retreat Elementary,Wythe County Public Schools,67,Bachelor's Degree,Rural Retreat Elementary Wythe County Public Schools
Rural Retreat Elementary,Wythe County Public Schools,33,Master's Degree,Rural Retreat Elementary Wythe County Public Schools
Rural Retreat Elementary,Wythe County Public Schools,0,Doctoral Degree,Rural Retreat Elementary Wythe County Public Schools
Rural Retreat High,Wythe County Public Schools,55,Bachelor's Degree,Rural Retreat High Wythe County Public Schools
Rural Retreat High,Wythe County Public Schools,42,Master's Degree,Rural Retreat High Wythe County Public Schools
Rural Retreat High,Wythe County Public Schools,0,Doctoral Degree,Rural Retreat High Wythe County Public Schools
Max Meadows Elementary,Wythe County Public Schools,48,Bachelor's Degree,Max Meadows Elementary Wythe County Public Schools
Max Meadows Elementary,Wythe County Public Schools,48,Master's Degree,Max Meadows Elementary Wythe County Public Schools
Max Meadows Elementary,Wythe County Public Schools,0,Doctoral Degree,Max Meadows Elementary Wythe County Public Schools
Jackson Memorial Elementary,Wythe County Public Schools,67,Bachelor's Degree,Jackson Memorial Elementary Wythe County Public Schools
Jackson Memorial Elementary,Wythe County Public Schools,33,Master's Degree,Jackson Memorial Elementary Wythe County Public Schools
Jackson Memorial Elementary,Wythe County Public Schools,0,Doctoral Degree,Jackson Memorial Elementary Wythe County Public Schools
Amelia County Middle,Amelia County Public Schools,49,Bachelor's Degree,Amelia County Middle Amelia County Public Schools
Amelia County Middle,Amelia County Public Schools,47,Master's Degree,Amelia County Middle Amelia County Public Schools
Amelia County Middle,Amelia County Public Schools,4,Doctoral Degree,Amelia County Middle Amelia County Public Schools
Amelia County Elementary,Amelia County Public Schools,53,Bachelor's Degree,Amelia County Elementary Amelia County Public Schools
Amelia County Elementary,Amelia County Public Schools,45,Master's Degree,Amelia County Elementary Amelia County Public Schools
Amelia County Elementary,Amelia County Public Schools,2,Doctoral Degree,Amelia County Elementary Amelia County Public Schools
Amelia County High,Amelia County Public Schools,56,Bachelor's Degree,Amelia County High Amelia County Public Schools
Amelia County High,Amelia County Public Schools,38,Master's Degree,Amelia County High Amelia County Public Schools
Amelia County High,Amelia County Public Schools,4,Doctoral Degree,Amelia County High Amelia County Public Schools
Clarke County High,Clarke County Public Schools,46,Bachelor's Degree,Clarke County High Clarke County Public Schools
Clarke County High,Clarke County Public Schools,49,Master's Degree,Clarke County High Clarke County Public Schools
Clarke County High,Clarke County Public Schools,0,Doctoral Degree,Clarke County High Clarke County Public Schools
