School,Division,Poverty_Level,Title_1_Code,Provisional_Percent,Sch_Div
Oscar Smith Middle,Chesapeake City Public Schools,High Poverty,Title I,26.3,Oscar Smith Middle Chesapeake City Public Schools
Truitt Intermediate,Chesapeake City Public Schools,High Poverty,Title I,6.3,Truitt Intermediate Chesapeake City Public Schools
Indian River High,Chesapeake City Public Schools,Medium Poverty,Non-Title I,7.8,Indian River High Chesapeake City Public Schools
Indian River Middle,Chesapeake City Public Schools,Medium Poverty,Non-Title I,13.9,Indian River Middle Chesapeake City Public Schools
Sparrow Road Intermediate,Chesapeake City Public Schools,Medium Poverty,Title I,9.5,Sparrow Road Intermediate Chesapeake City Public Schools
Crestwood Middle,Chesapeake City Public Schools,Medium Poverty,Non-Title I,11.1,Crestwood Middle Chesapeake City Public Schools
Grassfield Elementary,Chesapeake City Public Schools,Low Poverty,Non-Title I,2.5,Grassfield Elementary Chesapeake City Public Schools
Camelot Elementary,Chesapeake City Public Schools,High Poverty,Title I,6.4,Camelot Elementary Chesapeake City Public Schools
G.A. Treakle Elementary,Chesapeake City Public Schools,High Poverty,Title I,4.3,G.A. Treakle Elementary Chesapeake City Public Schools
Norfolk Highlands Primary,Chesapeake City Public Schools,Medium Poverty,Title I,6.3,Norfolk Highlands Primary Chesapeake City Public Schools
Great Bridge Intermediate,Chesapeake City Public Schools,Low Poverty,Non-Title I,4.3,Great Bridge Intermediate Chesapeake City Public Schools
Crestwood Intermediate,Chesapeake City Public Schools,Medium Poverty,Title I,8.8,Crestwood Intermediate Chesapeake City Public Schools
George W. Carver Intermediate,Chesapeake City Public Schools,High Poverty,Title I,10,George W. Carver Intermediate Chesapeake City Public Schools
Georgetown Primary,Chesapeake City Public Schools,Medium Poverty,Title I,3.2,Georgetown Primary Chesapeake City Public Schools
Western Branch Middle,Chesapeake City Public Schools,Medium Poverty,Non-Title I,4,Western Branch Middle Chesapeake City Public Schools
Greenbrier Intermediate,Chesapeake City Public Schools,Medium Poverty,Non-Title I,4.4,Greenbrier Intermediate Chesapeake City Public Schools
Thurgood Marshall Elementary,Chesapeake City Public Schools,High Poverty,Title I,6.3,Thurgood Marshall Elementary Chesapeake City Public Schools
A.G. Richardson Elementary,Culpeper County Public Schools,Medium Poverty,Non-Title I,5.8,A.G. Richardson Elementary Culpeper County Public Schools
Culpeper County High,Culpeper County Public Schools,Medium Poverty,Non-Title I,11.1,Culpeper County High Culpeper County Public Schools
Culpeper Middle,Culpeper County Public Schools,Medium Poverty,Non-Title I,12.3,Culpeper Middle Culpeper County Public Schools
Eastern View High,Culpeper County Public Schools,Medium Poverty,Non-Title I,11.9,Eastern View High Culpeper County Public Schools
Farmington Elementary,Culpeper County Public Schools,Medium Poverty,Title I,0,Farmington Elementary Culpeper County Public Schools
Floyd T. Binns Middle,Culpeper County Public Schools,Medium Poverty,Non-Title I,11.5,Floyd T. Binns Middle Culpeper County Public Schools
Sycamore Park Elementary,Culpeper County Public Schools,Medium Poverty,Title I,15.6,Sycamore Park Elementary Culpeper County Public Schools
Yowell Elementary,Culpeper County Public Schools,Medium Poverty,Non-Title I,1.8,Yowell Elementary Culpeper County Public Schools
Emerald Hill Elementary,Culpeper County Public Schools,Medium Poverty,Non-Title I,6,Emerald Hill Elementary Culpeper County Public Schools
Pearl Sample Elementary,Culpeper County Public Schools,Medium Poverty,Title I,15.8,Pearl Sample Elementary Culpeper County Public Schools
H.M. Pearson Elementary,Fauquier County Public Schools,Medium Poverty,Title I,0,H.M. Pearson Elementary Fauquier County Public Schools
Claude Thompson Elementary,Fauquier County Public Schools,Medium Poverty,Title I,15.8,Claude Thompson Elementary Fauquier County Public Schools
Margaret M. Pierce Elementary,Fauquier County Public Schools,Medium Poverty,Title I,15.6,Margaret M. Pierce Elementary Fauquier County Public Schools
C.M. Bradley Elementary,Fauquier County Public Schools,Low Poverty,Non-Title I,3.3,C.M. Bradley Elementary Fauquier County Public Schools
James G. Brumfield Elementary,Fauquier County Public Schools,Medium Poverty,Non-Title I,3.1,James G. Brumfield Elementary Fauquier County Public Schools
W.C. Taylor Middle,Fauquier County Public Schools,Low Poverty,Non-Title I,17.8,W.C. Taylor Middle Fauquier County Public Schools
Warrenton Middle,Fauquier County Public Schools,Low Poverty,Non-Title I,17.8,Warrenton Middle Fauquier County Public Schools
P.B. Smith Elementary,Fauquier County Public Schools,Low Poverty,Non-Title I,11.1,P.B. Smith Elementary Fauquier County Public Schools
Greenville Elementary,Fauquier County Public Schools,Low Poverty,Non-Title I,8.8,Greenville Elementary Fauquier County Public Schools
Mary Walter Elementary,Fauquier County Public Schools,Medium Poverty,Title I,8,Mary Walter Elementary Fauquier County Public Schools
Grace Miller Elementary,Fauquier County Public Schools,Medium Poverty,Title I,11.1,Grace Miller Elementary Fauquier County Public Schools
Liberty High,Fauquier County Public Schools,Medium Poverty,Non-Title I,14.8,Liberty High Fauquier County Public Schools
Marshall Middle,Fauquier County Public Schools,Medium Poverty,Non-Title I,16.3,Marshall Middle Fauquier County Public Schools
Auburn Middle,Fauquier County Public Schools,Low Poverty,Non-Title I,10.6,Auburn Middle Fauquier County Public Schools
W.G. Coleman Elementary,Fauquier County Public Schools,Medium Poverty,Non-Title I,8.3,W.G. Coleman Elementary Fauquier County Public Schools
Fauquier High,Fauquier County Public Schools,Low Poverty,Non-Title I,7.7,Fauquier High Fauquier County Public Schools
Kettle Run High,Fauquier County Public Schools,Low Poverty,Non-Title I,10.5,Kettle Run High Fauquier County Public Schools
Cedar Lee Middle,Fauquier County Public Schools,Medium Poverty,Non-Title I,8.5,Cedar Lee Middle Fauquier County Public Schools
C. Hunter Ritchie Elementary,Fauquier County Public Schools,Low Poverty,Non-Title I,0,C. Hunter Ritchie Elementary Fauquier County Public Schools
Fluvanna County High,Fluvanna County Public Schools,Medium Poverty,Non-Title I,8.3,Fluvanna County High Fluvanna County Public Schools
Fluvanna Middle,Fluvanna County Public Schools,Medium Poverty,Non-Title I,5.6,Fluvanna Middle Fluvanna County Public Schools
Carysbrook Elementary,Fluvanna County Public Schools,Medium Poverty,Title I,2.2,Carysbrook Elementary Fluvanna County Public Schools
Henry Elementary,Franklin County Public Schools,High Poverty,Title I,0,Henry Elementary Franklin County Public Schools
Burnt Chimney Elementary,Franklin County Public Schools,Medium Poverty,Non-Title I,10.3,Burnt Chimney Elementary Franklin County Public Schools
Ferrum Elementary,Franklin County Public Schools,High Poverty,Title I,3.7,Ferrum Elementary Franklin County Public Schools
Snow Creek Elementary,Franklin County Public Schools,Medium Poverty,Title I,4.3,Snow Creek Elementary Franklin County Public Schools
Boones Mill Elementary,Franklin County Public Schools,Medium Poverty,Non-Title I,6.5,Boones Mill Elementary Franklin County Public Schools
Benjamin Franklin Middle,Franklin County Public Schools,Medium Poverty,Non-Title I,9.9,Benjamin Franklin Middle Franklin County Public Schools
Rocky Mount Elementary,Franklin County Public Schools,High Poverty,Title I,12.1,Rocky Mount Elementary Franklin County Public Schools
Glade Hill Elementary,Franklin County Public Schools,Medium Poverty,Title I,22.7,Glade Hill Elementary Franklin County Public Schools
Callaway Elementary,Franklin County Public Schools,Medium Poverty,Title I,0,Callaway Elementary Franklin County Public Schools
Sontag Elementary,Franklin County Public Schools,High Poverty,Title I,7.7,Sontag Elementary Franklin County Public Schools
Franklin County High,Franklin County Public Schools,Medium Poverty,Non-Title I,15.1,Franklin County High Franklin County Public Schools
Lee M. Waid Elementary,Franklin County Public Schools,High Poverty,Title I,14.3,Lee M. Waid Elementary Franklin County Public Schools
Windy Gap Elementary,Franklin County Public Schools,Medium Poverty,Non-Title I,3.6,Windy Gap Elementary Franklin County Public Schools
Dudley Elementary,Franklin County Public Schools,Medium Poverty,Non-Title I,4.2,Dudley Elementary Franklin County Public Schools
Highland Elementary,Highland County Public Schools,Medium Poverty,Title I,9.1,Highland Elementary Highland County Public Schools
Highland High,Highland County Public Schools,Medium Poverty,Title I,20,Highland High Highland County Public Schools
George W. Watkins Elementary,New Kent County Public Schools,Low Poverty,Title I,1.9,George W. Watkins Elementary New Kent County Public Schools
Crewe Primary,Nottoway County Public Schools,High Poverty,Title I,12.1,Crewe Primary Nottoway County Public Schools
Nottoway High,Nottoway County Public Schools,High Poverty,Non-Title I,10.7,Nottoway High Nottoway County Public Schools
Nottoway Intermediate,Nottoway County Public Schools,High Poverty,Title I,21.9,Nottoway Intermediate Nottoway County Public Schools
Nottoway Middle,Nottoway County Public Schools,High Poverty,Title I,8.8,Nottoway Middle Nottoway County Public Schools
Blackstone Primary,Nottoway County Public Schools,High Poverty,Title I,5.9,Blackstone Primary Nottoway County Public Schools
Cool Spring Elementary,Petersburg City Public Schools,High Poverty,Title I,42.1,Cool Spring Elementary Petersburg City Public Schools
Lakemont Elementary,Petersburg City Public Schools,High Poverty,Title I,37.1,Lakemont Elementary Petersburg City Public Schools
Pleasants Lane Elementary,Petersburg City Public Schools,High Poverty,Title I,33.3,Pleasants Lane Elementary Petersburg City Public Schools
Vernon Johns Middle,Petersburg City Public Schools,High Poverty,Title I,30.3,Vernon Johns Middle Petersburg City Public Schools
Walnut Hill Elementary,Petersburg City Public Schools,High Poverty,Title I,38.5,Walnut Hill Elementary Petersburg City Public Schools
Petersburg High,Petersburg City Public Schools,High Poverty,Non-Title I,16.3,Petersburg High Petersburg City Public Schools
Simonsdale Elementary,Portsmouth City Public Schools,Medium Poverty,Title I,6.9,Simonsdale Elementary Portsmouth City Public Schools
Hodges Manor Elementary,Portsmouth City Public Schools,High Poverty,Title I,8.3,Hodges Manor Elementary Portsmouth City Public Schools
Manor High,Portsmouth City Public Schools,Medium Poverty,Non-Title I,16.8,Manor High Portsmouth City Public Schools
Douglass Park Elementary,Portsmouth City Public Schools,High Poverty,Title I,8.5,Douglass Park Elementary Portsmouth City Public Schools
Lakeview Elementary,Portsmouth City Public Schools,High Poverty,Title I,13,Lakeview Elementary Portsmouth City Public Schools
William E. Waters Middle,Portsmouth City Public Schools,High Poverty,Non-Title I,19.4,William E. Waters Middle Portsmouth City Public Schools
Victory Elementary,Portsmouth City Public Schools,Medium Poverty,Title I,12.5,Victory Elementary Portsmouth City Public Schools
Cradock Middle,Portsmouth City Public Schools,High Poverty,Non-Title I,9.5,Cradock Middle Portsmouth City Public Schools
Cradock Elementary,Portsmouth City Public Schools,High Poverty,Title I,8.9,Cradock Elementary Portsmouth City Public Schools
Churchland Primary & Intermediate,Portsmouth City Public Schools,Medium Poverty,Title I,8,Churchland Primary & Intermediate Portsmouth City Public Schools
Churchland Academy Elementary,Portsmouth City Public Schools,Medium Poverty,Title I,14.5,Churchland Academy Elementary Portsmouth City Public Schools
Churchland Middle,Portsmouth City Public Schools,Medium Poverty,Non-Title I,8.8,Churchland Middle Portsmouth City Public Schools
Churchland High,Portsmouth City Public Schools,Medium Poverty,Non-Title I,4.6,Churchland High Portsmouth City Public Schools
Park View Elementary,Portsmouth City Public Schools,High Poverty,Title I,12.5,Park View Elementary Portsmouth City Public Schools
I.C. Norcom High,Portsmouth City Public Schools,High Poverty,Non-Title I,7.8,I.C. Norcom High Portsmouth City Public Schools
Waterview Elementary,Portsmouth City Public Schools,High Poverty,Title I,8,Waterview Elementary Portsmouth City Public Schools
Westhaven Elementary,Portsmouth City Public Schools,High Poverty,Title I,18.6,Westhaven Elementary Portsmouth City Public Schools
Churchland Elementary,Portsmouth City Public Schools,Medium Poverty,Non-Title I,10.9,Churchland Elementary Portsmouth City Public Schools
Flat Rock Elementary,Powhatan County Public Schools,Low Poverty,Non-Title I,1.7,Flat Rock Elementary Powhatan County Public Schools
Powhatan Elementary,Powhatan County Public Schools,Low Poverty,Title I,4.3,Powhatan Elementary Powhatan County Public Schools
Powhatan Middle,Powhatan County Public Schools,Low Poverty,Non-Title I,7.7,Powhatan Middle Powhatan County Public Schools
Pocahontas Elementary,Powhatan County Public Schools,Low Poverty,Title I,3.2,Pocahontas Elementary Powhatan County Public Schools
Powhatan High,Powhatan County Public Schools,Low Poverty,Non-Title I,7,Powhatan High Powhatan County Public Schools
Rappahannock High,Richmond County Public Schools,High Poverty,Non-Title I,9.8,Rappahannock High Richmond County Public Schools
Richmond County Elementary,Richmond County Public Schools,Medium Poverty,Title I,1.6,Richmond County Elementary Richmond County Public Schools
Edward E. Drew Jr. Middle,Stafford County Public Schools,Medium Poverty,Non-Title I,18.5,Edward E. Drew Jr. Middle Stafford County Public Schools
Falmouth Elementary,Stafford County Public Schools,Medium Poverty,Title I,9.1,Falmouth Elementary Stafford County Public Schools
Grafton Village Elementary,Stafford County Public Schools,Low Poverty,Non-Title I,6.5,Grafton Village Elementary Stafford County Public Schools
Hartwood Elementary,Stafford County Public Schools,Low Poverty,Non-Title I,7.9,Hartwood Elementary Stafford County Public Schools
Anthony Burns Elementary,Stafford County Public Schools,Medium Poverty,Title I,10.6,Anthony Burns Elementary Stafford County Public Schools
Colonial Forge High,Stafford County Public Schools,Low Poverty,Non-Title I,11.8,Colonial Forge High Stafford County Public Schools
H.H. Poole Middle,Stafford County Public Schools,Medium Poverty,Non-Title I,19.1,H.H. Poole Middle Stafford County Public Schools
Rodney E. Thompson Middle,Stafford County Public Schools,Low Poverty,Non-Title I,7.5,Rodney E. Thompson Middle Stafford County Public Schools
Shirley C. Heim Middle,Stafford County Public Schools,Medium Poverty,Non-Title I,9.6,Shirley C. Heim Middle Stafford County Public Schools
Stafford Elementary,Stafford County Public Schools,Low Poverty,Non-Title I,11.9,Stafford Elementary Stafford County Public Schools
Stafford Middle,Stafford County Public Schools,Medium Poverty,Non-Title I,25.4,Stafford Middle Stafford County Public Schools
Widewater Elementary,Stafford County Public Schools,Medium Poverty,Title I,9.8,Widewater Elementary Stafford County Public Schools
Andrew G. Wright Middle,Stafford County Public Schools,Low Poverty,Non-Title I,4.8,Andrew G. Wright Middle Stafford County Public Schools
Anne E. Moncure Elementary,Stafford County Public Schools,Medium Poverty,Title I,8.2,Anne E. Moncure Elementary Stafford County Public Schools
Rockhill Elementary,Stafford County Public Schools,Low Poverty,Non-Title I,14.9,Rockhill Elementary Stafford County Public Schools
Conway Elementary,Stafford County Public Schools,Medium Poverty,Title I,3.7,Conway Elementary Stafford County Public Schools
Rocky Run Elementary,Stafford County Public Schools,Medium Poverty,Title I,11.8,Rocky Run Elementary Stafford County Public Schools
T. Benton Gayle Middle,Stafford County Public Schools,Medium Poverty,Non-Title I,16.4,T. Benton Gayle Middle Stafford County Public Schools
Donald B. Dixon-Lyle R. Smith Middle,Stafford County Public Schools,Medium Poverty,Non-Title I,15.5,Donald B. Dixon-Lyle R. Smith Middle Stafford County Public Schools
Brooke Point High,Stafford County Public Schools,Low Poverty,Non-Title I,10.4,Brooke Point High Stafford County Public Schools
Hampton Oaks Elementary,Stafford County Public Schools,Low Poverty,Non-Title I,12.5,Hampton Oaks Elementary Stafford County Public Schools
Kate Waller Barrett Elementary,Stafford County Public Schools,Medium Poverty,Title I,12.2,Kate Waller Barrett Elementary Stafford County Public Schools
North Stafford High,Stafford County Public Schools,Medium Poverty,Non-Title I,14.3,North Stafford High Stafford County Public Schools
Park Ridge Elementary,Stafford County Public Schools,Low Poverty,Non-Title I,5.9,Park Ridge Elementary Stafford County Public Schools
Stafford Senior High,Stafford County Public Schools,Low Poverty,Non-Title I,9.8,Stafford Senior High Stafford County Public Schools
Winding Creek Elementary,Stafford County Public Schools,Low Poverty,Non-Title I,10.6,Winding Creek Elementary Stafford County Public Schools
Ferry Farm Elementary,Stafford County Public Schools,Medium Poverty,Title I,5.3,Ferry Farm Elementary Stafford County Public Schools
Tazewell High,Tazewell County Public Schools,Medium Poverty,Non-Title I,12.5,Tazewell High Tazewell County Public Schools
Tazewell Middle,Tazewell County Public Schools,Medium Poverty,Non-Title I,2.3,Tazewell Middle Tazewell County Public Schools
Graham Intermediate,Tazewell County Public Schools,Medium Poverty,Title I,4.8,Graham Intermediate Tazewell County Public Schools
Graham High,Tazewell County Public Schools,Medium Poverty,Non-Title I,4.7,Graham High Tazewell County Public Schools
Richlands Middle,Tazewell County Public Schools,High Poverty,Non-Title I,0,Richlands Middle Tazewell County Public Schools
Richlands Elementary,Tazewell County Public Schools,High Poverty,Title I,4.5,Richlands Elementary Tazewell County Public Schools
Cedar Bluff Elementary,Tazewell County Public Schools,Medium Poverty,Title I,6.7,Cedar Bluff Elementary Tazewell County Public Schools
Tazewell Intermediate,Tazewell County Public Schools,High Poverty,Title I,8,Tazewell Intermediate Tazewell County Public Schools
Richlands High,Tazewell County Public Schools,Medium Poverty,Non-Title I,12.5,Richlands High Tazewell County Public Schools
Graham Middle,Tazewell County Public Schools,Medium Poverty,Non-Title I,0,Graham Middle Tazewell County Public Schools
Abb's Valley-Boissevain Elementary,Tazewell County Public Schools,High Poverty,Title I,0,Abb's Valley-Boissevain Elementary Tazewell County Public Schools
Daniel Morgan Intermediate,Winchester City Public Schools,Medium Poverty,Non-Title I,3.4,Daniel Morgan Intermediate Winchester City Public Schools
Daniel Morgan Middle,Winchester City Public Schools,Medium Poverty,Non-Title I,7.5,Daniel Morgan Middle Winchester City Public Schools
Frederick Douglass Elementary,Winchester City Public Schools,High Poverty,Title I,12.9,Frederick Douglass Elementary Winchester City Public Schools
Garland R. Quarles Elementary,Winchester City Public Schools,High Poverty,Title I,5.1,Garland R. Quarles Elementary Winchester City Public Schools
John Kerr Elementary,Winchester City Public Schools,High Poverty,Title I,0,John Kerr Elementary Winchester City Public Schools
John Handley High,Winchester City Public Schools,Medium Poverty,Non-Title I,9,John Handley High Winchester City Public Schools
Western Albemarle High,Albemarle County Public Schools,Low Poverty,Non-Title I,6.1,Western Albemarle High Albemarle County Public Schools
Stony Point Elementary,Albemarle County Public Schools,Medium Poverty,Non-Title I,0,Stony Point Elementary Albemarle County Public Schools
Meriwether Lewis Elementary,Albemarle County Public Schools,Low Poverty,Non-Title I,3.3,Meriwether Lewis Elementary Albemarle County Public Schools
Leslie H. Walton Middle,Albemarle County Public Schools,Medium Poverty,Non-Title I,14,Leslie H. Walton Middle Albemarle County Public Schools
Baker-Butler Elem,Albemarle County Public Schools,Low Poverty,Non-Title I,0,Baker-Butler Elem Albemarle County Public Schools
Scottsville Elementary,Albemarle County Public Schools,Medium Poverty,Title I,8.3,Scottsville Elementary Albemarle County Public Schools
Red Hill Elementary,Albemarle County Public Schools,Medium Poverty,Title I,0,Red Hill Elementary Albemarle County Public Schools
Woodbrook Elementary,Albemarle County Public Schools,Medium Poverty,Title I,1.4,Woodbrook Elementary Albemarle County Public Schools
Agnor-Hurt Elementary,Albemarle County Public Schools,Medium Poverty,Title I,2.2,Agnor-Hurt Elementary Albemarle County Public Schools
Mary Carr Greer Elementary,Albemarle County Public Schools,Medium Poverty,Title I,0,Mary Carr Greer Elementary Albemarle County Public Schools
Mountain View Elementary,Albemarle County Public Schools,Medium Poverty,Title I,6.3,Mountain View Elementary Albemarle County Public Schools
Monticello High,Albemarle County Public Schools,Low Poverty,Non-Title I,5.6,Monticello High Albemarle County Public Schools
Jackson P. Burley Middle,Albemarle County Public Schools,Medium Poverty,Non-Title I,8.1,Jackson P. Burley Middle Albemarle County Public Schools
Community Lab School,Albemarle County Public Schools,Low Poverty,Non-Title I,6.7,Community Lab School Albemarle County Public Schools
Virginia L. Murray Elementary,Albemarle County Public Schools,Low Poverty,Non-Title I,8,Virginia L. Murray Elementary Albemarle County Public Schools
Stone Robinson Elementary,Albemarle County Public Schools,Low Poverty,Non-Title I,2.2,Stone Robinson Elementary Albemarle County Public Schools
Hollymead Elementary,Albemarle County Public Schools,Low Poverty,Non-Title I,0,Hollymead Elementary Albemarle County Public Schools
Journey Middle,Albemarle County Public Schools,Medium Poverty,Non-Title I,4.2,Journey Middle Albemarle County Public Schools
Albemarle High,Albemarle County Public Schools,Low Poverty,Non-Title I,6.3,Albemarle High Albemarle County Public Schools
Brownsville Elementary,Albemarle County Public Schools,Low Poverty,Non-Title I,1.5,Brownsville Elementary Albemarle County Public Schools
Joseph T. Henley Middle,Albemarle County Public Schools,Low Poverty,Non-Title I,8.1,Joseph T. Henley Middle Albemarle County Public Schools
Lakeside Middle,Albemarle County Public Schools,Low Poverty,Non-Title I,0,Lakeside Middle Albemarle County Public Schools
Broadus Wood Elementary,Albemarle County Public Schools,Low Poverty,Non-Title I,3.8,Broadus Wood Elementary Albemarle County Public Schools
Crozet Elementary,Albemarle County Public Schools,Low Poverty,Non-Title I,0,Crozet Elementary Albemarle County Public Schools
Long Branch Elementary,Arlington County Public Schools,Medium Poverty,Non-Title I,11.1,Long Branch Elementary Arlington County Public Schools
Washington-Liberty High,Arlington County Public Schools,Low Poverty,Non-Title I,7.6,Washington-Liberty High Arlington County Public Schools
Barrett Elementary,Arlington County Public Schools,Medium Poverty,Title I,5.9,Barrett Elementary Arlington County Public Schools
Alice West Fleet Elementary,Arlington County Public Schools,Low Poverty,Non-Title I,15.4,Alice West Fleet Elementary Arlington County Public Schools
Barcroft Elementary,Arlington County Public Schools,Medium Poverty,Title I,0,Barcroft Elementary Arlington County Public Schools
Carlin Springs Elementary,Arlington County Public Schools,High Poverty,Title I,10.7,Carlin Springs Elementary Arlington County Public Schools
Hoffman-Boston Elementary,Arlington County Public Schools,Medium Poverty,Title I,5.2,Hoffman-Boston Elementary Arlington County Public Schools
Kenmore Middle,Arlington County Public Schools,Medium Poverty,Non-Title I,4,Kenmore Middle Arlington County Public Schools
Randolph Elementary,Arlington County Public Schools,Medium Poverty,Title I,4.4,Randolph Elementary Arlington County Public Schools
Arlington Traditional,Arlington County Public Schools,Medium Poverty,Non-Title I,10.6,Arlington Traditional Arlington County Public Schools
Ashlawn Elementary,Arlington County Public Schools,Low Poverty,Non-Title I,2,Ashlawn Elementary Arlington County Public Schools
Cardinal Elementary,Arlington County Public Schools,Low Poverty,Non-Title I,2.2,Cardinal Elementary Arlington County Public Schools
Escuela Key Elementary,Arlington County Public Schools,Medium Poverty,Non-Title I,2,Escuela Key Elementary Arlington County Public Schools
Swanson Middle,Arlington County Public Schools,Low Poverty,Non-Title I,3.4,Swanson Middle Arlington County Public Schools
Gunston Middle,Arlington County Public Schools,Medium Poverty,Non-Title I,9,Gunston Middle Arlington County Public Schools
Dorothy Hamm Middle,Arlington County Public Schools,Low Poverty,Non-Title I,10.5,Dorothy Hamm Middle Arlington County Public Schools
Glebe Elementary,Arlington County Public Schools,Low Poverty,Non-Title I,4.7,Glebe Elementary Arlington County Public Schools
Jamestown Elementary,Arlington County Public Schools,Low Poverty,Non-Title I,4.8,Jamestown Elementary Arlington County Public Schools
Nottingham Elementary,Arlington County Public Schools,Low Poverty,Non-Title I,5.7,Nottingham Elementary Arlington County Public Schools
Williamsburg Middle,Arlington County Public Schools,Low Poverty,Non-Title I,5.3,Williamsburg Middle Arlington County Public Schools
Tuckahoe Elementary,Arlington County Public Schools,Low Poverty,Non-Title I,5.3,Tuckahoe Elementary Arlington County Public Schools
Dr. Charles R. Drew Elementary,Arlington County Public Schools,Medium Poverty,Title I,8,Dr. Charles R. Drew Elementary Arlington County Public Schools
Abingdon Elementary,Arlington County Public Schools,Medium Poverty,Title I,9.5,Abingdon Elementary Arlington County Public Schools
Jefferson Middle,Arlington County Public Schools,Medium Poverty,Non-Title I,10,Jefferson Middle Arlington County Public Schools
Discovery Elementary,Arlington County Public Schools,Low Poverty,Non-Title I,2.3,Discovery Elementary Arlington County Public Schools
Oakridge Elementary,Arlington County Public Schools,Low Poverty,Non-Title I,6.5,Oakridge Elementary Arlington County Public Schools
Wakefield High,Arlington County Public Schools,Medium Poverty,Non-Title I,5.8,Wakefield High Arlington County Public Schools
Yorktown High,Arlington County Public Schools,Low Poverty,Non-Title I,7.5,Yorktown High Arlington County Public Schools
Taylor Elementary,Arlington County Public Schools,Low Poverty,Non-Title I,2.4,Taylor Elementary Arlington County Public Schools
Montessori Public School of Arlington,Arlington County Public Schools,Low Poverty,Non-Title I,5.7,Montessori Public School of Arlington Arlington County Public Schools
Arlington Community High,Arlington County Public Schools,Low Poverty,Non-Title I,3.6,Arlington Community High Arlington County Public Schools
Campbell Elementary,Arlington County Public Schools,Medium Poverty,Title I,4.8,Campbell Elementary Arlington County Public Schools
Claremont Immersion,Arlington County Public Schools,Medium Poverty,Non-Title I,14.8,Claremont Immersion Arlington County Public Schools
Buchanan Elementary,Botetourt County Public Schools,Medium Poverty,Title I,13.3,Buchanan Elementary Botetourt County Public Schools
James River High,Botetourt County Public Schools,Low Poverty,Non-Title I,1.7,James River High Botetourt County Public Schools
Breckinridge Elementary,Botetourt County Public Schools,Medium Poverty,Title I,3.7,Breckinridge Elementary Botetourt County Public Schools
Central Academy Middle,Botetourt County Public Schools,Low Poverty,Non-Title I,4.3,Central Academy Middle Botetourt County Public Schools
Read Mountain Middle,Botetourt County Public Schools,Low Poverty,Non-Title I,4.2,Read Mountain Middle Botetourt County Public Schools
Eagle Rock Elementary,Botetourt County Public Schools,Medium Poverty,Title I,6.3,Eagle Rock Elementary Botetourt County Public Schools
Greenfield Elementary,Botetourt County Public Schools,Low Poverty,Title I,2.9,Greenfield Elementary Botetourt County Public Schools
Troutville Elementary,Botetourt County Public Schools,Low Poverty,Title I,0,Troutville Elementary Botetourt County Public Schools
Cloverdale Elementary,Botetourt County Public Schools,Low Poverty,Non-Title I,0,Cloverdale Elementary Botetourt County Public Schools
Colonial Elementary,Botetourt County Public Schools,Low Poverty,Non-Title I,0,Colonial Elementary Botetourt County Public Schools
Lord Botetourt High,Botetourt County Public Schools,Low Poverty,Non-Title I,2.1,Lord Botetourt High Botetourt County Public Schools
Red Oak-Sturgeon Elementary,Brunswick County Public Schools,High Poverty,Title I,20,Red Oak-Sturgeon Elementary Brunswick County Public Schools
Brunswick High,Brunswick County Public Schools,High Poverty,Title I,17.1,Brunswick High Brunswick County Public Schools
James S. Russell Middle,Brunswick County Public Schools,High Poverty,Title I,12.5,James S. Russell Middle Brunswick County Public Schools
Meherrin Powellton Elementary,Brunswick County Public Schools,High Poverty,Title I,6.7,Meherrin Powellton Elementary Brunswick County Public Schools
Totaro Elementary,Brunswick County Public Schools,High Poverty,Title I,9.1,Totaro Elementary Brunswick County Public Schools
Enderly Heights Elementary,Buena Vista City Public Schools,Medium Poverty,Title I,0,Enderly Heights Elementary Buena Vista City Public Schools
Parry McCluer High,Buena Vista City Public Schools,Medium Poverty,Non-Title I,7.7,Parry McCluer High Buena Vista City Public Schools
Parry McCluer Middle,Buena Vista City Public Schools,High Poverty,Non-Title I,0,Parry McCluer Middle Buena Vista City Public Schools
Ridgeview High,Dickenson County Public Schools,High Poverty,Non-Title I,8.2,Ridgeview High Dickenson County Public Schools
Ridgeview Middle,Dickenson County Public Schools,High Poverty,Non-Title I,6.9,Ridgeview Middle Dickenson County Public Schools
Ervinton Elementary,Dickenson County Public Schools,High Poverty,Title I,10.5,Ervinton Elementary Dickenson County Public Schools
Sandlick Elementary,Dickenson County Public Schools,High Poverty,Title I,10.5,Sandlick Elementary Dickenson County Public Schools
Clintwood Elementary,Dickenson County Public Schools,High Poverty,Title I,5.3,Clintwood Elementary Dickenson County Public Schools
Dinwiddie County High,Dinwiddie County Public Schools,Medium Poverty,Non-Title I,14.9,Dinwiddie County High Dinwiddie County Public Schools
Dinwiddie County Middle,Dinwiddie County Public Schools,Medium Poverty,Non-Title I,18.9,Dinwiddie County Middle Dinwiddie County Public Schools
Southside Elementary,Dinwiddie County Public Schools,Medium Poverty,Title I,6.7,Southside Elementary Dinwiddie County Public Schools
Midway Elementary,Dinwiddie County Public Schools,Medium Poverty,Non-Title I,6.1,Midway Elementary Dinwiddie County Public Schools
Dinwiddie Elementary,Dinwiddie County Public Schools,Medium Poverty,Title I,5.6,Dinwiddie Elementary Dinwiddie County Public Schools
